"id","length","S2_Ctrl1","S2_Auxin1","S2_Ctrl2","S2_Auxin2","Chd1_Ctrl1","Chd1_Auxin1","Chd1_Ctrl2","Chd1_Auxin2"
"FBgn0025702",10351,76,171,99,79,351,332,345,298
"FBgn0025709",3654,1,6,6,5,12,3,4,8
"FBgn0025712",2558,36,74,45,47,179,180,206,222
"FBgn0025716",1611,281,479,268,271,412,533,426,493
"FBgn0025720",2425,249,449,223,231,892,1164,1040,1335
"FBgn0025724",3481,856,1556,815,834,1821,2042,2167,2429
"FBgn0025725",4134,739,1314,709,777,1347,1519,1691,1763
"FBgn0025726",44508,1441,2846,1156,1222,3276,4709,3657,4908
"FBgn0025739",2795,109,238,95,106,266,303,292,364
"FBgn0025740",11301,146,267,121,120,545,604,568,681
"FBgn0025741",17207,680,1136,556,606,1620,2222,1842,2562
"FBgn0025742",2285,166,328,150,150,355,339,420,353
"FBgn0025743",4172,178,313,128,150,478,496,505,516
"FBgn0025776",1126,0,1,0,1,3,5,6,5
"FBgn0025777",3966,137,263,128,122,521,605,633,590
"FBgn0025781",2923,141,259,124,120,216,291,237,303
"FBgn0025790",3527,373,633,290,287,904,917,906,981
"FBgn0025800",5239,293,507,232,265,912,1014,1014,1063
"FBgn0025802",7656,242,463,224,220,578,535,653,588
"FBgn0025807",2509,94,166,77,84,275,328,320,345
"FBgn0025808",2022,107,181,108,108,275,280,255,272
"FBgn0025809",1575,80,162,74,81,177,200,197,244
"FBgn0025814",1983,398,724,327,315,2068,1718,2249,1831
"FBgn0025815",2790,340,616,308,300,315,504,313,420
"FBgn0025820",849,103,200,118,104,380,425,440,542
"FBgn0025821",887,2,13,0,2,12,6,6,3
"FBgn0025827",657,0,1,2,2,4,2,1,2
"FBgn0025832",1440,158,314,118,128,240,264,251,265
"FBgn0025833",20929,0,3,4,2,11,19,13,14
"FBgn0025835",5696,3,4,0,0,8,2,2,3
"FBgn0025836",12892,2,3,3,4,8,11,9,7
"FBgn0025837",2345,1,2,1,3,1,3,0,0
"FBgn0025838",946,4,4,4,4,4,4,11,10
"FBgn0025839",907,62,143,55,54,94,107,89,133
"FBgn0025864",10006,306,592,273,322,973,981,1042,1000
"FBgn0025865",2792,719,1360,679,725,1050,1193,1113,1306
"FBgn0025866",4558,308,593,330,293,1794,1866,1884,1959
"FBgn0025874",2045,191,356,171,174,582,705,685,907
"FBgn0025878",3039,6,9,7,3,26,45,20,29
"FBgn0025879",9133,946,1902,1156,839,1505,2371,1881,3065
"FBgn0025881",113,316,615,331,305,552,554,623,518
"FBgn0025882",91,10,17,7,14,17,15,14,13
"FBgn0025885",3953,1492,3138,1763,1721,5289,5983,4972,6246
"FBgn0025936",11787,774,1200,810,852,700,852,733,1680
"FBgn0026015",3853,158,338,166,162,365,403,392,455
"FBgn0026056",3070,213,402,212,180,1385,1206,1487,1102
"FBgn0026059",30239,193,353,147,163,592,494,566,513
"FBgn0026060",8763,10,11,3,3,17,25,23,14
"FBgn0026061",9887,14,15,16,17,75,85,72,68
"FBgn0026076",3445,71,159,59,61,309,326,287,351
"FBgn0026077",12089,2,2,3,0,8,3,11,5
"FBgn0026079",2579,186,326,179,178,258,289,311,308
"FBgn0026080",2688,149,306,156,142,429,419,403,438
"FBgn0026083",12997,582,1073,524,554,1110,1339,1243,1517
"FBgn0026084",4869,690,1275,620,658,2634,2706,2772,2742
"FBgn0026085",1229,42,87,35,46,141,159,129,151
"FBgn0026086",14341,127,261,86,129,277,331,268,345
"FBgn0026088",756,217,406,182,241,408,539,460,560
"FBgn0026089",977,241,442,169,216,591,748,665,855
"FBgn0026090",1083,207,373,194,178,649,776,711,871
"FBgn0026141",736,1,1,1,3,2,4,1,1
"FBgn0026143",2266,275,512,217,231,271,340,303,374
"FBgn0026144",5380,2,3,2,1,34,42,35,55
"FBgn0026147",8497,312,589,287,294,741,747,788,868
"FBgn0026148",1436,43,79,46,30,218,254,194,249
"FBgn0026149",1961,133,211,109,98,180,161,202,172
"FBgn0026150",2190,263,502,208,229,721,672,817,669
"FBgn0026160",40969,1957,4346,1992,1970,7518,8330,8718,8418
"FBgn0026162",73,327,715,302,307,395,314,476,428
"FBgn0026163",73,24,18,12,8,28,21,23,32
"FBgn0026164",73,22,25,10,11,19,28,27,17
"FBgn0026169",140,82,151,70,69,68,90,67,90
"FBgn0026175",629,0,2,2,1,13,10,7,11
"FBgn0026176",935,23,36,22,26,100,112,105,123
"FBgn0026179",40910,525,866,464,433,2608,3678,2800,3715
"FBgn0026181",13403,286,541,256,283,693,720,791,780
"FBgn0026189",13275,841,1575,691,769,1359,1318,1256,1309
"FBgn0026190",4341,0,5,2,6,3,11,8,7
"FBgn0026192",3745,158,333,155,176,449,438,504,481
"FBgn0026196",1991,1442,2673,1216,1330,1926,1848,2057,1924
"FBgn0026197",1077,2,0,1,1,14,3,14,8
"FBgn0026199",5370,779,627,261,275,1074,1643,1183,1640
"FBgn0026206",26055,323,685,293,325,1092,1262,1061,1189
"FBgn0026207",2566,204,392,164,162,555,580,581,568
"FBgn0026238",11332,506,1018,447,472,1400,1247,1523,1337
"FBgn0026239",38412,1173,2160,1192,1128,2435,3043,2662,3368
"FBgn0026250",8341,198,317,179,161,339,341,362,365
"FBgn0026252",5401,985,1809,807,873,1102,1094,1264,1298
"FBgn0026255",5326,23,33,11,10,83,80,63,75
"FBgn0026257",2426,84,142,56,73,270,295,258,286
"FBgn0026259",32320,2357,4844,2298,2267,7139,3884,7230,4238
"FBgn0026261",1099,164,318,111,138,230,317,253,299
"FBgn0026262",6942,367,631,287,346,969,1254,1113,1348
"FBgn0026263",4381,57,103,67,60,262,211,207,252
"FBgn0026268",1029,6,12,9,7,7,18,17,18
"FBgn0026309",2422,244,440,221,216,621,680,664,655
"FBgn0026313",7272,176,342,158,197,455,463,526,496
"FBgn0026314",1744,1,8,5,3,15,29,13,20
"FBgn0026315",1848,235,494,247,207,1148,662,1478,847
"FBgn0026316",999,378,669,302,291,786,995,920,1155
"FBgn0026317",4348,222,432,193,200,314,363,333,405
"FBgn0026319",18792,316,516,306,263,1575,1638,1666,1852
"FBgn0026320",963,15,32,13,14,37,70,66,59
"FBgn0026323",9021,169,314,175,152,411,424,500,418
"FBgn0026324",560,86,124,72,68,359,346,350,380
"FBgn0026326",2609,189,295,150,135,308,365,287,395
"FBgn0026361",1789,147,299,127,124,287,419,308,383
"FBgn0026369",5181,462,927,452,482,1744,1841,1973,2033
"FBgn0026371",3747,142,242,115,121,364,521,366,522
"FBgn0026372",2367,559,1148,540,562,809,809,860,819
"FBgn0026373",970,142,261,127,141,479,584,577,643
"FBgn0026374",4736,47,97,58,48,265,313,262,283
"FBgn0026375",13416,224,482,203,220,926,948,1008,994
"FBgn0026376",18439,302,605,311,260,934,950,1060,1028
"FBgn0026378",2039,163,336,173,175,396,468,514,539
"FBgn0026379",4731,155,336,140,144,493,486,444,537
"FBgn0026380",914,299,532,285,275,636,684,713,738
"FBgn0026384",1198,3,3,1,1,4,5,5,5
"FBgn0026385",1603,2,2,0,1,6,3,6,4
"FBgn0026386",1546,1,1,0,1,2,3,0,4
"FBgn0026389",2074,3,13,3,5,6,8,8,11
"FBgn0026390",1234,4,3,5,2,3,4,3,6
"FBgn0026391",1321,1,1,2,0,2,2,2,2
"FBgn0026392",1212,3,3,2,1,1,1,1,2
"FBgn0026393",1770,30,56,31,33,99,169,147,168
"FBgn0026395",1414,1,0,2,2,3,3,2,4
"FBgn0026396",3379,20,46,16,22,46,79,38,90
"FBgn0026397",1561,1,1,2,2,2,1,4,0
"FBgn0026398",1666,4,3,0,3,2,1,1,3
"FBgn0026399",1559,7,4,1,3,2,5,5,10
"FBgn0026400",1230,239,418,186,233,361,401,442,493
"FBgn0026401",37346,410,775,335,374,2029,2546,2041,2571
"FBgn0026402",1587,90,149,84,85,269,289,310,296
"FBgn0026403",8214,5,11,9,6,58,73,48,63
"FBgn0026404",2524,359,701,351,339,1375,1742,1684,1863
"FBgn0026409",2791,643,1268,574,614,1447,1662,1716,1820
"FBgn0026411",49266,101,155,83,88,188,164,196,169
"FBgn0026415",2976,4,12,1,4,43,59,27,47
"FBgn0026417",3761,84,135,71,67,181,204,214,229
"FBgn0026418",6668,1501,2897,1417,1510,2605,2967,2630,3232
"FBgn0026427",10965,843,1597,668,697,1771,2086,1817,2196
"FBgn0026428",7051,69,116,64,62,206,230,220,229
"FBgn0026430",6334,203,383,164,157,420,466,506,497
"FBgn0026431",2563,117,227,101,111,304,371,321,381
"FBgn0026432",4865,147,307,130,97,300,369,321,385
"FBgn0026433",3839,205,349,195,212,465,530,466,500
"FBgn0026438",7184,5,8,7,4,13,16,20,13
"FBgn0026439",8359,37,68,40,49,330,987,410,1071
"FBgn0026441",4524,243,477,241,213,470,506,543,546
"FBgn0026479",4150,379,682,356,375,1133,1008,1234,1055
"FBgn0026533",5519,612,1197,524,596,1777,1959,1704,2109
"FBgn0026562",2758,592,1060,478,530,1102,1332,1307,1370
"FBgn0026563",4086,0,1,1,2,4,11,4,10
"FBgn0026566",1413,265,450,208,243,602,566,590,676
"FBgn0026570",1419,474,902,508,454,1693,1557,1613,1607
"FBgn0026573",7036,305,653,333,317,624,875,608,821
"FBgn0026575",15624,834,1537,772,732,2227,2409,2291,2528
"FBgn0026576",2810,567,1282,668,612,1863,2184,1876,2394
"FBgn0026577",10748,834,1581,724,715,1572,1675,1622,1773
"FBgn0026582",1406,259,524,242,258,562,588,644,732
"FBgn0026592",2260,236,396,228,248,583,464,610,414
"FBgn0026593",3062,433,968,423,403,2284,2027,2400,2115
"FBgn0026597",12470,231,459,233,214,514,566,521,569
"FBgn0026598",4299,242,513,253,269,398,531,540,527
"FBgn0026602",2753,170,359,180,238,1071,987,1447,1211
"FBgn0026616",19871,776,1381,695,671,2459,1822,2235,1828
"FBgn0026619",3389,145,314,140,155,253,333,278,381
"FBgn0026620",15403,490,947,441,444,2029,1956,2147,2036
"FBgn0026630",3398,143,282,112,134,362,436,374,419
"FBgn0026634",3177,172,338,151,195,422,485,478,497
"FBgn0026666",1511,61,127,49,76,194,251,231,272
"FBgn0026679",3543,204,413,190,214,482,538,538,516
"FBgn0026702",2846,253,487,227,253,313,341,327,346
"FBgn0026713",23371,233,519,268,253,374,428,447,440
"FBgn0026718",14304,255,516,195,211,1673,1630,1781,1754
"FBgn0026721",5298,471,799,365,373,1717,1958,2119,2546
"FBgn0026722",4412,178,390,194,187,442,593,500,665
"FBgn0026737",1062,92,183,75,101,232,263,273,367
"FBgn0026738",1295,133,263,120,124,376,542,390,545
"FBgn0026741",740,123,341,144,149,205,246,224,341
"FBgn0026751",2560,121,231,116,104,282,354,334,460
"FBgn0026754",1743,1,7,1,2,7,9,3,11
"FBgn0026755",1795,0,2,1,2,5,2,6,2
"FBgn0026756",1696,3,7,7,5,15,14,14,14
"FBgn0026760",4309,0,5,4,0,11,12,4,7
"FBgn0026761",2616,330,540,271,286,498,543,482,646
"FBgn0026777",2730,608,1125,610,598,2019,2502,2310,2720
"FBgn0026787",2771,360,618,306,325,756,902,851,1055
"FBgn0026869",19523,943,1846,790,864,2824,3675,2893,3155
"FBgn0026872",2559,306,538,305,240,543,779,649,872
"FBgn0026873",979,116,229,75,111,252,300,282,326
"FBgn0026874",1498,23,54,27,29,67,114,80,82
"FBgn0026876",3012,198,395,228,210,339,422,398,465
"FBgn0026878",1089,37,76,34,33,70,126,79,159
"FBgn0026879",447,100,194,86,93,116,163,159,186
"FBgn0027052",1693,119,225,107,120,367,437,446,476
"FBgn0027053",1308,142,281,163,142,292,365,359,410
"FBgn0027054",1925,224,437,241,256,600,870,730,891
"FBgn0027055",2481,156,286,132,127,344,455,387,521
"FBgn0027057",1874,175,347,161,157,449,489,451,565
"FBgn0027066",7074,806,1457,648,717,1838,1945,2095,2200
"FBgn0027070",2290,21,40,39,22,137,144,175,154
"FBgn0027073",2093,23,38,13,10,204,377,235,570
"FBgn0027074",3230,4,5,1,1,7,14,14,18
"FBgn0027079",3860,382,698,331,353,1621,1672,1747,1725
"FBgn0027080",1954,274,509,229,295,370,476,451,517
"FBgn0027081",3420,586,1096,509,494,3124,2761,3351,2876
"FBgn0027082",1690,81,145,56,57,261,305,268,350
"FBgn0027083",10949,49,85,31,44,130,145,141,126
"FBgn0027084",2522,312,606,284,290,629,579,695,586
"FBgn0027085",3186,120,208,113,112,183,256,220,270
"FBgn0027086",4146,876,1630,865,817,3350,3879,3498,3970
"FBgn0027087",5018,201,375,168,193,1094,894,1220,923
"FBgn0027088",2545,499,915,467,473,1140,1386,1347,1666
"FBgn0027090",2455,553,1088,485,545,1008,1300,1124,1527
"FBgn0027091",2760,398,710,332,404,1645,1570,1720,1659
"FBgn0027093",2377,271,499,219,263,594,612,647,664
"FBgn0027094",3503,646,1130,601,632,2573,2221,2927,2520
"FBgn0027095",1398,408,758,376,389,799,892,857,1097
"FBgn0027101",5625,407,762,335,354,1012,1357,1163,1529
"FBgn0027106",2001,1,1,1,0,3,5,4,4
"FBgn0027107",1949,0,2,1,1,6,4,7,3
"FBgn0027108",5480,516,721,331,296,2290,3178,2343,3278
"FBgn0027109",2106,2,2,2,1,1,3,2,2
"FBgn0027111",3038,16,29,19,8,35,49,36,59
"FBgn0027259",1060,76,149,67,61,224,233,198,258
"FBgn0027279",20950,543,1081,507,522,2352,2180,2728,2191
"FBgn0027280",5431,876,1824,778,729,2261,2353,2626,2486
"FBgn0027287",24302,486,1018,500,490,2253,2480,2563,2375
"FBgn0027291",3383,257,508,222,217,483,500,570,522
"FBgn0027296",2309,127,223,79,102,138,240,186,250
"FBgn0027329",2324,704,1353,695,715,952,998,1104,1110
"FBgn0027330",3565,390,691,337,365,444,439,529,473
"FBgn0027334",955,246,472,231,249,383,388,413,424
"FBgn0027335",12007,1011,1897,878,919,1838,2529,2125,2711
"FBgn0027338",3250,738,1275,657,701,1540,1236,1627,1389
"FBgn0027339",45962,886,1949,1100,931,3131,3559,3436,3873
"FBgn0027342",4050,145,280,131,152,458,657,439,630
"FBgn0027343",14278,125,247,114,109,76,123,89,128
"FBgn0027348",6325,56,111,67,48,477,441,488,475
"FBgn0027356",18465,10,15,10,8,22,22,27,23
"FBgn0027359",839,145,305,146,145,357,407,407,389
"FBgn0027360",925,5,6,5,2,23,38,33,53
"FBgn0027363",3471,451,818,388,414,1287,1254,1401,1395
"FBgn0027364",3892,4,0,3,0,11,14,8,13
"FBgn0027375",3918,184,349,144,156,329,421,390,469
"FBgn0027376",4587,13,24,12,6,40,48,51,54
"FBgn0027378",1670,175,323,149,144,329,431,408,402
"FBgn0027453",2210,122,244,106,113,340,392,411,425
"FBgn0027490",3308,253,469,197,240,480,527,549,523
"FBgn0027491",2826,13,39,12,14,133,96,120,76
"FBgn0027492",20567,952,1819,879,937,2242,2447,2283,2634
"FBgn0027493",5914,526,1002,587,527,2106,2514,2240,2772
"FBgn0027494",604,0,2,2,1,13,12,4,6
"FBgn0027495",2642,257,474,216,225,402,544,453,566
"FBgn0027496",1105,324,572,279,322,667,721,770,845
"FBgn0027497",4629,278,580,252,289,711,676,747,738
"FBgn0027499",8519,281,580,315,299,1228,1469,1207,1513
"FBgn0027500",3808,294,617,268,286,501,588,466,465
"FBgn0027503",5932,464,831,399,396,921,880,998,944
"FBgn0027504",5034,579,1130,455,542,1148,1407,1286,1526
"FBgn0027505",4881,165,339,178,168,474,545,546,603
"FBgn0027506",12766,274,521,266,290,1163,1675,1231,1883
"FBgn0027507",3103,589,1044,517,538,1230,1418,1332,1533
"FBgn0027508",8196,331,692,420,387,786,923,811,956
"FBgn0027509",4147,347,654,337,330,1093,924,1161,913
"FBgn0027512",5977,158,310,133,169,247,281,264,264
"FBgn0027513",1483,103,194,117,94,218,292,253,294
"FBgn0027514",2980,136,255,139,138,321,394,336,431
"FBgn0027515",4200,119,190,105,140,537,744,683,739
"FBgn0027518",3121,318,652,319,316,906,1130,1042,1146
"FBgn0027521",3508,4,11,6,8,43,48,40,44
"FBgn0027524",1337,150,317,156,140,329,275,361,352
"FBgn0027525",2158,319,572,264,288,446,559,499,658
"FBgn0027526",1259,158,281,126,137,358,460,424,498
"FBgn0027527",2474,0,3,1,1,15,6,10,4
"FBgn0027528",24607,7,6,5,4,31,27,28,23
"FBgn0027529",6794,816,1591,869,701,1788,2096,2141,2208
"FBgn0027532",4579,492,914,429,454,1059,1529,1249,1722
"FBgn0027535",4118,136,293,128,157,458,436,488,425
"FBgn0027537",3085,596,1068,472,525,839,948,916,1007
"FBgn0027538",2121,125,222,111,107,560,713,642,681
"FBgn0027539",8568,481,844,417,389,2954,3236,2965,3190
"FBgn0027546",3290,74,159,76,74,137,128,156,109
"FBgn0027547",3355,722,1326,798,709,2606,2351,2492,2688
"FBgn0027548",7343,626,1219,597,604,1521,1793,1497,1862
"FBgn0027549",3039,203,415,193,210,486,729,587,759
"FBgn0027550",3856,31,49,25,33,96,152,100,156
"FBgn0027552",1458,209,368,209,207,1411,1551,1258,1777
"FBgn0027553",2366,139,243,110,143,355,397,400,401
"FBgn0027554",2543,163,300,138,180,406,413,472,503
"FBgn0027556",25030,36,96,34,53,143,131,208,141
"FBgn0027558",4079,198,349,182,179,509,623,524,641
"FBgn0027560",4452,85,173,81,83,220,250,231,223
"FBgn0027561",8727,640,1243,639,615,1915,2071,2128,2320
"FBgn0027562",7789,2,6,2,5,3,3,3,8
"FBgn0027563",1665,21,41,25,25,26,10,29,16
"FBgn0027564",2261,107,235,126,120,361,404,388,462
"FBgn0027565",1705,136,273,129,149,461,476,473,537
"FBgn0027567",6036,418,902,388,381,1026,1081,1014,1175
"FBgn0027568",4574,388,708,397,372,1315,1403,1290,1578
"FBgn0027569",7343,214,393,217,215,790,811,827,827
"FBgn0027570",12421,29,52,22,20,146,174,147,189
"FBgn0027572",3602,807,1239,623,696,2889,2995,3300,3411
"FBgn0027574",2561,269,521,269,257,561,654,646,776
"FBgn0027575",5508,23,39,30,31,54,53,58,45
"FBgn0027578",2323,756,1322,697,679,587,482,682,566
"FBgn0027579",7887,268,561,300,301,1661,1706,1853,1772
"FBgn0027580",10841,212,370,222,183,660,886,774,889
"FBgn0027581",13027,6,18,9,11,48,48,59,69
"FBgn0027582",4685,203,366,163,196,290,364,387,416
"FBgn0027583",1477,240,481,253,209,706,1038,872,1023
"FBgn0027584",2292,0,4,0,0,16,29,28,21
"FBgn0027585",23781,10,24,17,10,108,71,128,50
"FBgn0027586",2804,2,1,2,2,11,0,10,7
"FBgn0027587",4274,353,625,339,313,863,1144,914,1244
"FBgn0027588",4763,291,574,288,268,702,692,773,756
"FBgn0027589",40512,10,28,15,11,25,64,31,71
"FBgn0027590",1455,757,1455,748,404,4808,4705,4177,5029
"FBgn0027592",3158,397,762,344,365,1305,1214,1383,1396
"FBgn0027594",15513,102,177,69,83,456,259,578,270
"FBgn0027596",26951,114,235,142,110,531,512,445,438
"FBgn0027597",1436,70,168,77,70,275,222,314,229
"FBgn0027598",18389,1067,1942,1140,1076,5354,5220,6106,5706
"FBgn0027599",1818,355,673,336,280,655,748,749,721
"FBgn0027600",6265,8,4,4,1,23,22,26,19
"FBgn0027601",19863,269,548,267,230,597,694,843,854
"FBgn0027602",8879,162,332,151,160,248,232,218,190
"FBgn0027603",6085,374,733,287,324,679,674,708,737
"FBgn0027607",3047,348,757,345,363,677,1209,884,1246
"FBgn0027608",22397,19,20,12,11,24,28,27,55
"FBgn0027609",1811,413,773,432,399,897,960,975,1055
"FBgn0027610",4341,835,1598,871,686,3311,2686,3990,3284
"FBgn0027611",4815,273,649,278,327,2270,2241,2701,2602
"FBgn0027615",2211,168,323,142,159,173,171,210,204
"FBgn0027616",3720,601,1205,548,582,1550,1239,1803,1399
"FBgn0027617",2105,59,108,51,43,102,132,114,130
"FBgn0027619",1969,504,923,406,425,943,1385,1147,1678
"FBgn0027620",5819,335,652,291,313,567,732,533,752
"FBgn0027621",13846,388,816,352,343,1015,893,1092,950
"FBgn0027654",9979,174,288,147,128,1028,1164,984,1114
"FBgn0027655",38575,195,371,185,188,523,691,629,679
"FBgn0027657",7718,615,1070,682,489,2870,2321,3135,2584
"FBgn0027660",25484,633,1216,611,563,2740,2731,3307,3314
"FBgn0027779",4944,541,977,529,508,2596,2510,2957,2627
"FBgn0027780",3716,100,190,99,94,256,287,255,292
"FBgn0027783",4033,322,608,233,300,517,562,442,457
"FBgn0027784",1304,100,179,84,85,251,256,281,278
"FBgn0027785",648,196,329,161,152,362,423,468,412
"FBgn0027786",1685,158,338,153,164,307,408,376,476
"FBgn0027788",2841,1,4,1,3,8,14,8,15
"FBgn0027790",12316,0,1,0,0,1,1,3,9
"FBgn0027791",1634,184,387,138,155,354,606,450,605
"FBgn0027793",870,69,125,89,69,121,153,150,158
"FBgn0027794",3443,117,216,110,111,156,225,203,224
"FBgn0027795",1840,39,61,25,26,71,79,74,70
"FBgn0027835",9098,1511,2804,1321,1333,3663,3915,4096,3865
"FBgn0027836",4195,594,1014,556,537,23937,23451,26030,22872
"FBgn0027841",1509,98,241,122,113,244,270,241,284
"FBgn0027843",5747,3,9,3,2,7,12,10,17
"FBgn0027844",6369,3,6,3,3,19,21,23,18
"FBgn0027864",1485,33,70,32,43,98,94,91,78
"FBgn0027865",8528,255,495,238,225,420,647,417,701
"FBgn0027866",6258,406,804,409,442,881,955,1003,1144
"FBgn0027868",2779,356,686,325,313,642,698,670,724
"FBgn0027872",2587,40,69,28,36,66,76,52,58
"FBgn0027873",2490,112,246,131,136,315,352,331,370
"FBgn0027889",2203,272,542,255,278,328,428,337,410
"FBgn0027903",1387,120,230,103,119,192,259,201,257
"FBgn0027929",1582,27,45,29,21,142,82,128,96
"FBgn0027932",15608,1873,3419,1729,1716,5394,4700,5951,5179
"FBgn0027945",1016,115,243,104,119,393,388,454,428
"FBgn0027948",9875,567,1065,455,502,1366,1730,1542,1842
"FBgn0027949",1431,159,294,134,126,327,367,266,359
"FBgn0027950",1774,142,283,159,147,739,748,815,796
"FBgn0027951",10084,459,960,432,466,1708,1715,1793,1809
"FBgn0028292",3035,151,339,158,173,329,313,377,397
"FBgn0028325",2982,208,388,174,187,510,518,537,524
"FBgn0028327",2611,620,1110,432,534,2119,2311,2586,2425
"FBgn0028331",17594,229,381,217,216,884,994,968,1103
"FBgn0028341",32852,482,998,479,487,2413,1870,2383,2141
"FBgn0028342",4424,169,260,129,121,354,366,390,394
"FBgn0028343",7376,231,440,203,207,629,658,739,741
"FBgn0028360",5169,430,811,393,367,730,1189,743,1183
"FBgn0028369",394149,45,113,66,61,396,313,341,308
"FBgn0028370",31256,7,18,12,10,18,21,12,16
"FBgn0028371",23139,14,19,9,10,60,36,62,34
"FBgn0028372",2860,133,288,130,126,400,400,498,455
"FBgn0028374",2889,2,0,2,2,3,2,2,3
"FBgn0028375",3808,257,452,212,201,584,486,728,563
"FBgn0028379",912,40,71,34,26,43,71,40,54
"FBgn0028380",4267,38,52,30,30,82,95,98,98
"FBgn0028381",1993,1,0,3,2,5,3,12,5
"FBgn0028382",1179,263,499,223,251,565,538,605,597
"FBgn0028387",10320,226,394,191,189,446,404,399,414
"FBgn0028394",12299,572,1101,622,513,2583,1331,2521,1538
"FBgn0028396",665,8,10,4,6,5,9,12,8
"FBgn0028397",16779,785,1287,532,590,1144,1162,1309,1285
"FBgn0028398",723,88,162,77,74,234,212,268,218
"FBgn0028399",2665,113,191,83,86,295,364,325,459
"FBgn0028400",4745,0,9,4,2,9,7,8,10
"FBgn0028402",1737,294,502,245,239,466,670,544,768
"FBgn0028406",2551,43,94,40,42,100,174,144,165
"FBgn0028407",7778,1,1,1,1,3,0,4,3
"FBgn0028408",10966,23,23,19,24,77,63,91,57
"FBgn0028410",1364,0,2,2,4,7,7,3,3
"FBgn0028411",654,180,281,175,144,480,690,567,705
"FBgn0028418",626,3,4,4,1,7,3,2,3
"FBgn0028421",5898,246,447,235,236,764,763,801,866
"FBgn0028422",3856,4,2,1,1,8,6,6,12
"FBgn0028424",2014,204,433,259,176,2394,1949,2593,2068
"FBgn0028425",4288,429,865,426,449,3431,2686,3534,2962
"FBgn0028426",2765,272,536,209,244,1431,1474,1515,1503
"FBgn0028427",2340,270,472,237,254,631,888,705,924
"FBgn0028429",2439,171,334,176,177,494,672,568,718
"FBgn0028430",852,17,34,22,7,64,37,148,111
"FBgn0028434",1008,35,72,25,44,129,156,158,137
"FBgn0028436",1330,119,204,86,108,894,756,889,712
"FBgn0028467",3517,256,513,237,243,608,707,793,745
"FBgn0028468",2389,144,272,136,150,366,358,373,350
"FBgn0028471",3760,230,423,191,224,434,532,484,550
"FBgn0028473",2470,763,1495,710,771,1042,1287,1101,1269
"FBgn0028474",4601,382,755,365,398,900,1020,1045,1012
"FBgn0028475",3935,197,402,160,204,444,571,496,609
"FBgn0028476",6142,287,577,268,306,597,721,714,849
"FBgn0028479",3207,644,1190,556,599,1327,1224,1404,1465
"FBgn0028480",16132,319,597,327,340,521,561,633,684
"FBgn0028481",35306,4,4,2,1,14,13,20,17
"FBgn0028482",7277,50,94,47,46,599,241,631,291
"FBgn0028484",5972,729,1390,638,647,3044,2727,3499,2847
"FBgn0028487",5576,45,93,40,44,211,217,195,200
"FBgn0028490",5185,746,1235,736,616,3025,2972,3249,3241
"FBgn0028491",11407,811,1712,827,915,2040,2925,1828,2545
"FBgn0028494",16012,10,20,10,9,40,72,48,78
"FBgn0028496",41425,17,34,11,19,49,41,49,55
"FBgn0028497",7672,206,428,215,217,647,762,695,826
"FBgn0028499",15145,85,192,90,96,262,370,320,411
"FBgn0028500",5173,294,489,246,265,520,795,586,888
"FBgn0028504",3738,126,238,138,148,290,340,340,328
"FBgn0028506",1606,270,527,272,288,1135,951,1279,1180
"FBgn0028507",2048,152,313,168,173,326,437,422,389
"FBgn0028509",63149,1205,2566,1116,1077,3028,3895,3614,4295
"FBgn0028513",1684,62,113,62,74,174,205,178,170
"FBgn0028514",2893,807,1476,968,997,2891,3141,3106,2694
"FBgn0028515",1824,477,828,463,416,1128,1036,1271,1261
"FBgn0028516",18987,1,5,1,0,2,1,2,3
"FBgn0028518",4986,5,9,13,7,10,12,8,12
"FBgn0028520",948,1,2,3,1,2,7,4,4
"FBgn0028523",48295,175,366,200,220,1154,693,1267,801
"FBgn0028525",2677,19,38,26,28,191,207,207,229
"FBgn0028526",1391,1,4,1,3,5,3,7,6
"FBgn0028527",7443,84,195,91,106,282,249,298,290
"FBgn0028530",1552,53,113,47,58,122,119,120,148
"FBgn0028531",1841,10,27,14,15,23,51,44,55
"FBgn0028532",930,27,65,26,33,68,68,72,61
"FBgn0028533",1299,30,50,34,31,60,68,62,88
"FBgn0028534",1048,24,52,24,30,67,69,58,60
"FBgn0028538",6154,408,731,327,342,947,994,1156,1105
"FBgn0028539",6479,251,432,218,222,480,542,576,603
"FBgn0028540",5826,696,1303,639,738,4438,4105,4676,4682
"FBgn0028541",26954,343,558,298,294,696,726,764,796
"FBgn0028542",1697,8,11,4,8,14,25,25,25
"FBgn0028543",2007,16,34,14,10,47,74,67,70
"FBgn0028544",2721,0,1,0,1,5,6,6,3
"FBgn0028546",3156,360,620,321,289,1473,1310,1656,1502
"FBgn0028550",32545,584,1135,601,551,1793,2126,1867,2142
"FBgn0028552",1759,89,187,78,85,320,528,350,564
"FBgn0028554",5910,713,1466,662,708,1800,1831,2226,1871
"FBgn0028560",1686,7,16,6,5,79,98,69,101
"FBgn0028561",1816,6,2,1,1,11,17,13,10
"FBgn0028562",1902,3,10,3,3,34,22,26,30
"FBgn0028563",4176,11,20,6,11,31,51,38,44
"FBgn0028567",751,2,1,4,4,4,2,4,4
"FBgn0028570",515,1,0,0,0,1,6,10,15
"FBgn0028572",9936,8,14,3,8,24,27,24,13
"FBgn0028573",7260,8,10,6,7,545,19,516,11
