Geneid,S2_Ctrl1,S2_Auxin1,S2_Ctrl2,S2_Auxin2,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0011278,31,51,32,34,100,64,90,78
FBgn0008651,1,7,0,5,14,15,3,8
FBgn0038881,1857,3471,1550,1830,4383,5076,4636,5250
FBgn0038878,4,5,2,2,13,12,31,8
FBgn0038877,218,474,237,244,645,755,637,749
FBgn0043012,64,149,56,63,145,159,162,183
FBgn0000527,64,131,49,55,209,278,214,338
FBgn0038871,117,252,108,113,299,367,334,365
FBgn0038869,247,399,200,186,432,445,495,436
FBgn0038889,114,253,111,113,362,362,334,371
FBgn0004863,5,8,1,4,9,8,9,12
FBgn0038890,544,1012,506,518,1278,1790,1441,1855
FBgn0038894,67,102,59,71,71,93,82,87
FBgn0051176,159,263,172,163,1389,1321,1375,1431
FBgn0011766,681,1461,675,713,1808,2038,1924,2031
FBgn0038892,4,14,8,4,55,62,52,63
FBgn0002941,8,9,6,5,15,30,17,23
FBgn0038897,2,3,9,8,22,18,22,16
FBgn0051343,4,4,2,4,1,15,7,9
FBgn0051233,5,4,3,3,11,5,25,10
FBgn0051198,6,14,6,8,10,8,14,9
FBgn0038901,0,1,4,6,7,8,10,5
FBgn0038902,93,161,96,95,143,134,160,152
FBgn0041229,2,3,0,0,2,2,3,1
FBgn0051431,279,563,309,253,763,625,757,586
FBgn0064912,30,29,16,21,68,56,70,57
FBgn0038912,79,162,53,92,667,897,681,1004
FBgn0053092,1,4,1,4,12,20,11,23
FBgn0051465,0,0,0,0,0,0,0,0
FBgn0038917,62,91,77,46,138,185,169,210
FBgn0038918,2,0,1,1,5,2,3,1
FBgn0038919,0,2,2,0,3,4,0,0
FBgn0038916,0,0,1,0,1,0,4,2
FBgn0038915,0,2,1,0,1,4,1,2
FBgn0038914,1,1,0,1,3,3,2,2
FBgn0051174,6,5,3,7,17,13,15,14
FBgn0038909,31,85,34,31,86,122,128,123
FBgn0015229,633,1436,787,768,3840,3953,4329,4252
FBgn0045468,0,3,0,1,2,3,1,5
FBgn0045469,24,41,29,18,73,96,84,73
FBgn0045470,31,85,46,34,188,163,135,169
FBgn0013759,297,559,273,313,835,960,905,1162
FBgn0003867,1,2,1,4,34,63,27,55
FBgn0038903,102,150,75,55,123,149,150,149
FBgn0027575,23,39,30,31,54,53,58,45
FBgn0038921,17,28,16,15,21,44,37,29
FBgn0038923,82,152,69,89,207,263,207,259
FBgn0019957,177,310,134,118,314,371,356,413
FBgn0038928,420,761,317,341,613,824,787,1008
FBgn0038929,5,10,2,4,9,13,7,10
FBgn0040582,0,2,1,2,1,1,4,1
FBgn0038931,2,1,2,0,1,1,2,0
FBgn0038930,1,3,0,0,2,1,2,2
FBgn0038927,0,0,0,0,0,0,0,0
FBgn0038926,92,128,80,85,219,261,236,281
FBgn0038925,231,406,177,214,305,384,353,436
FBgn0038924,139,237,123,123,401,521,452,569
FBgn0019960,295,511,265,288,460,555,550,586
FBgn0038922,219,375,168,147,472,483,530,567
FBgn0051164,0,1,0,0,1,2,1,1
FBgn0051163,502,754,400,350,1937,2458,2084,2687
FBgn0038934,2,2,2,3,10,11,10,6
FBgn0038938,1,6,3,2,9,2,7,7
FBgn0038941,0,1,2,1,1,3,1,3
FBgn0038942,1,0,1,1,1,1,1,0
FBgn0038946,0,1,0,2,3,1,2,4
FBgn0038947,369,612,258,309,1086,1220,1155,1396
FBgn0260467,0,1,4,1,24,15,29,14
FBgn0038952,139,240,106,129,445,543,489,538
FBgn0038953,152,341,164,164,760,1000,855,1093
FBgn0038957,16,45,27,19,55,51,53,44
FBgn0051165,38,83,37,45,51,64,68,52
FBgn0051166,20,66,30,25,195,184,163,184
FBgn0038959,7,1,0,1,7,8,12,8
FBgn0038960,26,49,20,22,44,59,47,68
FBgn0038965,85,185,109,80,304,364,305,368
FBgn0038964,442,855,361,384,491,567,547,611
FBgn0038961,102,193,76,88,150,155,133,192
FBgn0051167,743,1291,499,573,2018,1868,2115,1155
FBgn0051162,101,287,86,68,377,466,429,470
FBgn0038958,0,3,1,3,7,7,3,11
FBgn0038956,10,13,3,2,39,42,34,33
FBgn0038951,79,144,76,77,281,344,304,385
FBgn0038948,378,692,336,320,819,900,954,1064
FBgn0038945,2,1,0,1,1,0,1,1
FBgn0038944,0,1,0,0,1,0,0,4
FBgn0038943,0,1,0,0,3,2,1,1
FBgn0051423,2,1,0,1,2,1,0,1
FBgn0051424,0,0,0,0,0,2,1,0
FBgn0038972,117,185,85,106,311,355,338,432
FBgn0038973,75,129,59,78,118,125,128,150
FBgn0038975,458,792,465,422,194,790,205,868
FBgn0038976,183,336,142,158,332,328,344,432
FBgn0038978,2,2,1,0,2,1,3,2
FBgn0038979,1,3,1,1,2,4,4,0
FBgn0053110,3,7,3,4,11,14,12,15
FBgn0028837,207,345,154,186,492,552,470,688
FBgn0038989,232,503,233,246,336,452,394,495
FBgn0051158,1082,2153,1052,1190,2578,3094,2933,3316
FBgn0038993,40,69,47,43,65,99,65,110
FBgn0051159,81,200,75,73,227,344,273,368
FBgn0051161,49,100,41,36,108,157,110,146
FBgn0020278,1039,2002,1036,1062,2202,2233,2311,2429
FBgn0051156,118,220,93,103,235,324,259,334
FBgn0014949,88,212,83,99,210,289,252,273
FBgn0053107,72,150,76,67,232,416,264,401
FBgn0024558,393,674,331,298,672,867,738,868
FBgn0038986,2,8,6,3,26,18,17,13
FBgn0038984,242,417,191,182,445,555,504,610
FBgn0038983,3,1,3,0,4,5,5,3
FBgn0053099,137,276,206,120,1686,1440,1849,1551
FBgn0038981,551,1096,561,590,1577,1736,1736,1928
FBgn0003676,845,1537,887,917,1133,1144,1213,1305
FBgn0038977,173,326,168,209,251,295,331,318
FBgn0038974,72,151,69,79,113,159,150,155
FBgn0028688,555,1005,485,537,855,1080,978,1224
FBgn0038968,463,907,405,461,804,826,840,808
FBgn0038967,4,7,7,4,7,14,10,12
FBgn0038966,128,193,93,105,662,986,786,1146
FBgn0039002,6,9,5,4,35,77,55,55
FBgn0039004,187,326,150,157,320,413,319,413
FBgn0039006,131,250,129,148,255,224,279,211
FBgn0039008,1,5,0,0,3,3,3,2
FBgn0039017,39,98,51,62,145,177,176,191
FBgn0039019,81,153,51,68,168,207,185,225
FBgn0039025,43,130,51,50,92,118,95,114
FBgn0039026,513,1065,448,506,1214,1400,1434,1652
FBgn0039027,4,1,2,2,1,1,2,4
FBgn0039029,0,3,1,0,3,1,6,0
FBgn0039028,0,1,1,1,1,1,1,1
FBgn0040588,23,41,12,22,41,54,56,53
FBgn0039024,66,135,55,49,160,140,153,180
FBgn0039023,70,124,62,57,143,185,177,215
FBgn0039022,79,163,71,75,142,187,156,208
FBgn0051139,14,24,8,15,48,41,34,38
FBgn0039016,400,699,351,358,753,865,840,941
FBgn0039015,29,68,26,33,149,183,158,152
FBgn0039013,275,487,238,240,349,411,405,456
FBgn0024958,152,316,139,158,315,361,418,362
FBgn0051151,594,1084,515,537,997,1167,1104,1151
FBgn0039010,28,45,24,24,121,123,121,113
FBgn0039009,2,5,4,3,6,8,8,5
FBgn0039007,1,12,6,6,32,32,41,35
FBgn0039003,165,309,127,142,432,710,491,761
FBgn0046114,992,1765,985,889,1865,2547,2169,2878
FBgn0017590,40,60,23,44,247,236,281,336
FBgn0039030,0,0,1,3,0,1,2,1
FBgn0051281,0,1,0,1,4,4,5,4
FBgn0039031,0,3,0,0,2,6,2,0
FBgn0039033,1,2,0,0,1,1,2,1
FBgn0039034,1,0,1,0,2,6,2,1
FBgn0039038,0,8,6,5,5,14,5,8
FBgn0039041,1,2,0,0,3,3,3,1
FBgn0039042,1,7,0,5,12,19,3,10
FBgn0041225,557,965,573,573,1077,1277,1278,1477
FBgn0027526,158,281,126,137,358,460,424,498
FBgn0039049,4,8,4,4,33,27,32,21
FBgn0039050,1,1,0,1,4,3,4,4
FBgn0039051,13,25,7,5,24,18,19,34
FBgn0039052,3,13,4,4,24,23,14,28
FBgn0039053,11,15,4,12,20,23,15,20
FBgn0039054,30,39,20,27,96,104,91,91
FBgn0039048,98,183,83,104,192,232,225,218
FBgn0053193,316,671,320,340,1136,1107,1183,1076
FBgn0039045,1,0,0,0,0,0,1,0
FBgn0039044,230,422,239,250,604,616,764,700
FBgn0039043,21,39,21,27,76,137,66,108
FBgn0039040,4,3,0,0,9,7,3,7
FBgn0039039,3,22,4,7,30,26,14,28
FBgn0039056,1061,1977,1052,1132,3045,2846,3270,3296
FBgn0039066,302,616,230,264,665,888,816,998
FBgn0039068,37,51,29,28,95,125,91,104
FBgn0025781,141,259,124,120,216,291,237,303
FBgn0039069,63,108,57,54,140,183,131,174
FBgn0039071,161,96,41,55,208,233,171,174
FBgn0039070,25,46,18,25,49,61,54,71
FBgn0039067,215,418,179,166,458,604,487,590
FBgn0039065,97,191,97,92,246,255,274,301
FBgn0039064,49,67,50,35,71,74,101,66
FBgn0011596,144,315,141,133,297,421,371,487
FBgn0039059,11,12,7,11,42,44,41,39
FBgn0039058,6,14,8,5,20,42,33,33
FBgn0004395,709,1292,490,627,1943,2381,2237,2468
FBgn0051457,193,336,187,185,593,734,652,913
FBgn0051365,276,582,263,283,795,922,913,981
FBgn0039055,248,464,198,234,536,573,614,666
FBgn0024509,518,946,440,445,739,1023,867,1129
FBgn0002622,591,1145,593,629,1749,1960,1938,2049
FBgn0051225,1,2,2,0,4,3,4,3
FBgn0039079,1,4,0,1,1,3,2,1
FBgn0039080,0,1,1,0,2,0,4,3
FBgn0039088,0,2,1,0,2,5,3,3
FBgn0039087,0,1,2,6,5,4,3,4
FBgn0039086,1,3,0,1,2,7,8,7
FBgn0039085,1,5,0,0,4,5,3,2
FBgn0039084,11,25,11,13,19,21,14,28
FBgn0039083,2,1,1,1,4,1,5,3
FBgn0039081,2,4,3,4,8,8,6,15
FBgn0039078,4,9,0,6,18,13,13,12
FBgn0039077,0,1,0,0,1,1,1,1
FBgn0051515,1,0,1,0,0,0,0,0
FBgn0039075,9,12,5,10,26,28,26,22
FBgn0039073,27,28,11,23,27,37,20,28
FBgn0016119,291,495,260,254,799,907,715,1011
FBgn0039089,1,3,3,3,9,9,8,4
FBgn0039098,109,210,127,107,331,194,308,249
FBgn0039099,25,25,10,10,72,58,116,129
FBgn0039101,56,111,69,56,62,117,111,113
FBgn0042106,22,72,42,42,60,68,50,80
FBgn0039102,8,19,12,7,20,39,35,31
FBgn0051148,6,15,7,10,13,18,10,18
FBgn0051413,4,10,11,8,12,27,3,20
FBgn0051414,11,24,17,11,15,42,24,42
FBgn0039106,26,56,19,22,22,117,44,100
FBgn0039107,76,181,64,79,80,285,104,343
FBgn0039109,1077,2028,891,902,3866,3983,4972,4460
FBgn0028684,392,783,367,363,721,810,724,941
FBgn0039111,81,172,91,74,233,392,298,392
FBgn0039112,87,199,111,98,224,256,243,296
FBgn0028475,197,402,160,204,444,571,496,609
FBgn0039110,274,517,256,238,486,650,553,680
FBgn0028691,628,1041,500,579,1809,1832,2217,2026
FBgn0039108,616,1073,590,687,819,1355,905,1174
FBgn0002922,537,1108,372,458,914,2050,1109,2229
FBgn0047351,1,1,4,2,8,4,3,5
FBgn0043005,8,6,6,3,11,13,7,11
FBgn0039104,0,3,2,1,4,2,3,12
FBgn0027512,158,310,133,169,247,281,264,264
FBgn0051145,1269,2419,1008,916,7163,7204,7714,7936
FBgn0039094,209,322,218,210,509,608,607,715
FBgn0051143,1923,3712,1833,1753,4022,3705,4427,4291
FBgn0039093,2,1,5,2,8,8,3,5
FBgn0039092,1,3,6,1,6,1,4,6
FBgn0053337,0,0,0,0,0,0,0,0
FBgn0039091,1,1,0,0,2,3,1,2
FBgn0004187,59,120,57,65,43,67,39,47
FBgn0004186,44,99,40,62,73,102,66,77
FBgn0051141,0,5,3,4,6,13,12,9
FBgn0039125,272,511,229,259,516,615,549,563
FBgn0047114,161,265,162,148,472,553,550,601
FBgn0039128,37,81,29,27,82,92,95,92
FBgn0039130,660,1360,544,607,1373,1604,1568,1791
FBgn0039132,161,337,162,158,616,688,688,751
FBgn0051140,41,67,34,43,119,258,128,263
FBgn0051451,33,71,32,27,75,197,77,172
FBgn0039136,154,310,150,148,381,444,430,507
FBgn0015795,311,618,281,303,913,988,989,1208
FBgn0053108,93,193,78,116,329,368,360,359
FBgn0051184,78,109,46,63,160,241,187,243
FBgn0020647,2548,4879,2515,2555,8216,8743,8868,8548
FBgn0039137,159,296,138,143,295,359,324,311
FBgn0039135,113,203,90,90,371,552,482,590
FBgn0005674,319,639,319,361,926,971,986,891
FBgn0039131,7,7,3,1,12,17,9,15
FBgn0039129,9,15,11,10,25,27,31,35
FBgn0015282,535,1015,489,499,828,976,876,1159
FBgn0039126,110,246,108,123,231,319,238,298
FBgn0016754,156,273,131,138,547,661,577,706
FBgn0039124,3,11,9,3,35,26,34,32
FBgn0013347,252,442,233,208,687,846,731,995
FBgn0025574,1441,2782,1401,1310,2226,2105,2246,2732
FBgn0004185,279,884,214,264,1014,1235,1454,1380
FBgn0039139,122,229,100,98,398,374,398,424
FBgn0039141,145,249,114,127,347,453,429,455
FBgn0043455,124,270,119,115,299,357,304,393
FBgn0026576,567,1282,668,612,1863,2184,1876,2394
FBgn0039145,12,25,14,15,32,49,36,55
FBgn0040283,421,771,354,396,579,653,537,647
FBgn0039147,71,179,61,78,106,108,92,137
FBgn0039149,48,96,38,51,180,210,162,218
FBgn0039152,28,56,32,26,73,93,76,81
FBgn0026317,222,432,193,200,314,363,333,405
FBgn0039154,14,24,8,6,21,34,34,35
FBgn0039155,696,1523,792,738,1788,2383,2112,2682
FBgn0039156,226,373,216,203,863,1429,958,1278
FBgn0039158,130,237,94,121,214,313,237,326
FBgn0026598,242,513,253,269,398,531,540,527
FBgn0039161,5,2,3,2,8,5,10,6
FBgn0029503,182,332,204,238,188,221,209,233
FBgn0039165,214,427,169,185,459,578,481,634
FBgn0026257,84,142,56,73,270,295,258,286
FBgn0039170,59,112,49,47,115,146,108,150
FBgn0002863,0,0,0,0,0,0,0,0
FBgn0043884,1662,3144,1448,1560,2682,3222,2984,3284
FBgn0039172,124,243,130,134,265,274,287,306
FBgn0039169,181,334,175,161,353,399,344,409
FBgn0011725,191,388,180,218,400,440,395,422
FBgn0039167,112,203,104,98,186,204,174,181
FBgn0039163,121,206,127,144,187,218,220,235
FBgn0039160,135,245,120,142,237,305,330,361
FBgn0039159,65,119,49,57,109,168,134,191
FBgn0015765,261,444,233,218,485,688,508,747
FBgn0051133,83,136,73,63,210,262,229,300
FBgn0039153,47,92,44,41,99,124,117,127
FBgn0039151,1,4,0,6,7,9,13,10
FBgn0039150,249,449,192,213,486,620,566,644
FBgn0053100,315,599,253,302,779,792,693,728
FBgn0013343,1160,2258,1067,1135,2407,2976,2855,3040
FBgn0001230,1001,1928,1365,1443,2018,2120,1863,2289
FBgn0005649,450,857,386,416,910,953,996,1029
FBgn0039140,169,376,193,205,433,525,559,630
FBgn0051130,576,1127,501,427,1691,1464,1846,1722
FBgn0019952,744,1433,717,679,3122,3738,3640,3828
FBgn0039178,219,382,228,197,1095,1577,1185,1692
FBgn0011785,338,742,332,380,617,727,632,752
FBgn0039183,266,564,288,316,380,423,488,444
FBgn0039184,12,14,13,11,30,34,29,33
FBgn0011581,14,22,19,16,81,73,93,68
FBgn0039187,321,590,276,276,583,706,688,848
FBgn0053339,0,0,0,0,1,0,1,2
FBgn0053340,0,0,0,1,2,3,1,2
FBgn0039193,1,0,0,0,1,2,1,0
FBgn0053341,1,1,0,0,3,0,5,2
FBgn0039194,0,2,0,0,2,2,3,2
FBgn0039199,0,1,2,0,5,2,6,5
FBgn0039200,0,1,2,0,1,2,1,4
FBgn0000036,12,44,14,17,105,163,98,171
FBgn0039198,0,0,0,0,6,1,6,4
FBgn0039197,0,2,1,0,1,1,3,3
FBgn0039196,0,0,0,0,3,2,2,5
FBgn0039195,0,1,0,0,3,4,5,1
FBgn0039192,1,0,1,0,1,0,0,2
FBgn0039190,0,0,0,1,4,5,0,0
FBgn0039189,35,70,48,48,261,223,275,226
FBgn0039188,155,275,130,140,316,442,366,442
FBgn0039186,392,710,315,349,725,839,742,805
FBgn0039182,628,1134,528,615,630,696,766,767
FBgn0028471,230,423,191,224,434,532,484,550
FBgn0039180,29,56,23,30,63,58,66,68
FBgn0039175,263,477,241,232,416,469,422,516
FBgn0051128,1,0,0,0,2,1,1,0
FBgn0000039,0,2,1,1,1,8,4,5
FBgn0039201,0,3,1,4,10,22,15,31
FBgn0003134,273,486,254,228,790,926,933,920
FBgn0039203,2,3,1,0,4,5,3,5
FBgn0039204,159,321,144,153,464,692,554,738
FBgn0011845,241,543,221,212,1444,1386,2015,1418
FBgn0004188,1,1,1,1,2,5,5,2
FBgn0004189,1,3,0,1,5,9,10,5
FBgn0004190,4,5,1,1,21,20,21,30
FBgn0039213,444,901,438,458,1634,1919,1741,1965
FBgn0000139,230,437,190,184,560,602,666,684
FBgn0051126,91,152,79,80,142,160,153,174
FBgn0020018,147,284,125,176,290,332,304,349
FBgn0051125,90,122,72,65,239,282,251,310
FBgn0039214,556,1066,497,558,1033,1171,1188,1203
FBgn0046685,517,992,457,475,1084,1277,1277,1480
FBgn0039212,314,524,244,258,608,691,759,830
FBgn0039210,143,264,112,106,560,252,534,301
FBgn0039209,1503,2982,1549,1720,6489,5002,6788,5292
FBgn0039205,46,65,46,34,262,343,291,456
FBgn0039202,9,15,13,9,44,68,44,46
FBgn0004118,3,3,2,4,5,15,13,6
FBgn0039217,0,0,0,1,0,0,1,0
FBgn0039218,106,165,86,75,303,357,368,390
FBgn0004885,145,310,133,162,638,727,610,802
FBgn0003719,0,4,1,0,5,5,7,2
FBgn0000140,387,802,357,403,672,751,595,649
FBgn0040600,1039,2132,1022,899,2341,2404,2831,3095
FBgn0039225,7,17,6,10,35,48,14,56
FBgn0039228,34,41,22,27,59,42,40,49
FBgn0039232,7,7,6,2,20,21,23,24
FBgn0013953,26,55,23,22,56,64,63,62
FBgn0039233,296,540,237,263,447,465,551,526
FBgn0039234,429,809,343,385,1126,1233,1243,1408
FBgn0039238,2,1,0,3,10,6,7,8
FBgn0013949,14,25,12,11,49,44,45,46
FBgn0039241,79,154,70,94,106,52,111,59
FBgn0043799,109,275,129,127,104,85,138,89
FBgn0039244,0,5,4,2,3,4,5,3
FBgn0039246,1,1,3,1,1,3,2,1
FBgn0051382,90,109,49,61,255,302,365,347
FBgn0039249,217,382,165,183,538,695,652,762
FBgn0039250,141,273,118,123,272,336,224,271
FBgn0039251,1,5,1,2,20,27,18,23
FBgn0051416,187,492,211,238,395,372,475,512
FBgn0040601,1,5,7,1,11,25,9,27
FBgn0051121,49,67,34,42,70,44,66,44
FBgn0039240,222,431,194,202,524,674,627,718
FBgn0015625,502,1005,457,414,796,998,841,1000
FBgn0039239,3,3,3,1,7,4,8,3
FBgn0039237,0,0,0,1,1,0,2,3
FBgn0051105,2,1,2,2,5,10,5,11
FBgn0039235,21,20,8,17,63,73,68,51
FBgn0051119,67,142,61,77,241,278,226,260
FBgn0051357,71,150,77,73,210,315,233,314
FBgn0051118,16,26,6,23,73,85,76,80
FBgn0045980,25,42,22,35,121,165,143,141
FBgn0027617,59,108,51,43,102,132,114,130
FBgn0027539,481,844,417,389,2954,3236,2965,3190
FBgn0039227,372,692,301,343,766,853,829,895
FBgn0039226,114,147,92,81,331,523,352,562
FBgn0039224,1,1,0,0,5,5,3,5
FBgn0039223,179,332,161,185,876,1384,1062,1535
FBgn0015591,26,39,34,23,72,82,70,74
FBgn0039219,321,660,318,324,611,800,731,813
FBgn0039252,271,575,290,272,575,710,668,738
FBgn0039254,66,153,75,80,132,225,182,258
FBgn0039257,18,50,14,19,43,49,42,35
FBgn0039258,164,325,162,174,426,497,499,524
FBgn0015240,233,416,220,239,515,632,565,721
FBgn0051115,54,77,28,40,110,104,99,124
FBgn0045866,246,518,227,261,615,732,757,817
FBgn0039264,5,4,6,2,17,14,12,15
FBgn0039265,712,1271,587,621,1358,2165,1744,2353
FBgn0039266,856,1608,863,851,2819,3250,3041,3692
FBgn0039270,63,101,52,65,182,258,221,221
FBgn0039271,69,146,74,79,176,220,169,256
FBgn0039272,12,30,14,22,69,76,46,74
FBgn0039274,136,259,116,127,244,277,244,305
FBgn0004897,1,2,1,0,5,1,2,3
FBgn0004898,4,8,10,4,7,8,4,7
FBgn0046214,537,944,492,517,1303,1494,1689,1596
FBgn0039282,5,23,7,4,46,90,56,76
FBgn0039283,8,5,4,4,28,41,34,46
FBgn0039280,0,0,0,0,0,0,0,0
FBgn0051510,98,198,69,89,349,390,374,455
FBgn0039277,13,21,13,13,45,78,56,80
FBgn0039273,53,141,64,52,210,263,226,278
FBgn0011336,424,812,406,442,862,1017,1143,1197
FBgn0039269,102,194,93,83,357,382,383,394
FBgn0051111,48,84,34,39,130,172,118,180
FBgn0051109,151,309,128,146,300,356,343,371
FBgn0039261,201,359,177,177,407,448,396,486
FBgn0039260,559,1048,527,561,1027,1232,1194,1357
FBgn0039259,75,106,45,57,115,188,159,196
FBgn0029157,423,828,371,490,987,1297,1033,1386
FBgn0020626,298,584,298,271,521,657,614,765
FBgn0051108,147,240,97,101,326,407,352,409
FBgn0039286,5,7,4,5,33,23,30,33
FBgn0039288,0,0,1,0,1,2,1,0
FBgn0039290,63,132,59,60,132,142,124,144
FBgn0051106,0,0,2,1,1,2,3,2
FBgn0051103,1,4,0,1,3,3,3,0
FBgn0039293,136,270,114,140,314,383,377,429
FBgn0039297,0,1,1,1,1,4,4,1
FBgn0039298,1,7,3,0,12,9,19,9
FBgn0039299,0,0,3,1,6,2,3,4
FBgn0039301,137,267,116,151,255,323,335,351
FBgn0039302,1376,2629,1221,1364,1918,2489,2096,2656
FBgn0039303,441,796,352,368,1016,1162,1133,1373
FBgn0039305,55,136,70,66,116,164,152,163
FBgn0039306,145,252,110,143,201,232,243,275
FBgn0039307,0,1,3,0,1,1,5,2
FBgn0039310,2,3,0,1,4,6,2,0
FBgn0051300,5,4,1,0,9,11,13,18
FBgn0051104,2,4,4,5,7,23,27,27
FBgn0039315,3,16,9,8,85,86,73,78
FBgn0039316,19,28,23,12,30,61,43,56
FBgn0039319,4,3,1,0,18,38,25,38
FBgn0051370,46,72,39,52,115,130,128,180
FBgn0051436,87,184,79,84,379,306,436,385
FBgn0028647,110,239,106,115,244,306,293,356
FBgn0027376,13,24,12,6,40,48,51,54
FBgn0039335,112,205,102,108,253,342,257,292
FBgn0039337,78,125,68,69,246,310,263,333
FBgn0039338,625,1285,547,525,886,995,871,1149
FBgn0039336,54,135,57,55,142,142,146,166
FBgn0039329,117,210,95,110,259,311,301,318
FBgn0039328,320,649,308,306,1872,1724,1818,2040
FBgn0045761,540,962,481,458,4403,3093,4897,4171
FBgn0039326,10,21,9,7,48,55,49,108
FBgn0039325,2,0,3,2,4,8,5,4
FBgn0039324,1,1,1,0,2,5,5,5
FBgn0039323,2,4,1,1,8,8,8,7
FBgn0051087,0,4,2,0,4,3,5,4
FBgn0051099,0,4,4,1,4,3,8,1
FBgn0039321,880,1798,908,925,3400,1172,3063,1064
FBgn0051288,9,11,8,3,18,10,13,21
FBgn0051097,1,1,0,1,4,2,1,5
FBgn0051102,6,13,0,2,14,17,14,10
FBgn0051098,293,520,312,247,616,713,654,761
FBgn0039312,5,5,1,2,7,12,10,13
FBgn0039311,2,1,0,4,6,4,3,5
FBgn0027090,553,1088,485,545,1008,1300,1124,1527
FBgn0039304,66,151,63,90,169,195,188,191
FBgn0039300,406,766,328,380,598,543,668,631
FBgn0000158,2,8,3,0,6,6,8,5
FBgn0039296,275,480,236,249,538,810,673,934
FBgn0039294,104,179,100,99,204,305,214,291
FBgn0039291,63,84,46,53,244,298,301,278
FBgn0022800,11,26,21,9,135,59,136,72
FBgn0039339,7,11,5,8,13,14,13,17
FBgn0039341,0,0,0,0,0,0,0,0
FBgn0039342,0,0,0,1,1,0,0,0
FBgn0039343,1,2,2,2,4,4,3,4
FBgn0011666,1661,2895,1773,1559,4917,5067,5173,5235
FBgn0039346,21,29,13,18,25,38,35,47
FBgn0039347,70,151,56,97,144,230,198,240
FBgn0039350,423,904,495,405,1804,1715,1645,1884
FBgn0027508,331,692,420,387,786,923,811,956
FBgn0039344,53,87,48,37,122,142,133,131
FBgn0040212,208,442,208,213,506,470,544,564
FBgn0039354,19,31,18,13,43,47,48,53
FBgn0039356,38,101,44,46,102,139,104,142
FBgn0039358,230,369,174,198,381,388,439,409
FBgn0039373,1,5,1,0,2,6,4,11
FBgn0039374,0,0,0,0,0,0,0,0
FBgn0011273,0,0,0,0,0,0,0,0
FBgn0039376,0,1,2,1,11,16,6,9
FBgn0039379,123,220,114,125,325,343,277,377
FBgn0039380,3,4,2,4,16,27,11,16
FBgn0039381,229,454,182,226,1125,1252,1190,1321
FBgn0027865,255,495,238,225,420,647,417,701
FBgn0040602,4,5,1,6,35,70,33,101
FBgn0011668,0,0,0,0,2,8,3,4
FBgn0011669,0,0,0,0,1,3,0,2
FBgn0011670,0,0,1,1,1,3,1,4
FBgn0051093,0,0,1,0,2,6,3,7
FBgn0051380,0,1,0,0,5,7,4,7
FBgn0039371,2,0,0,2,0,5,1,1
FBgn0039368,0,0,0,1,0,2,3,0
FBgn0039367,0,0,0,0,0,0,0,0
FBgn0066101,20,45,26,25,256,224,182,204
FBgn0051092,691,1366,678,536,2530,2658,2751,2865
FBgn0039360,135,242,123,108,322,397,379,434
FBgn0039359,514,977,488,504,1429,1500,1686,1588
FBgn0039357,46,100,40,45,86,126,101,114
FBgn0039355,45,110,54,52,100,121,83,139
FBgn0028717,328,597,276,261,917,1055,1020,1092
FBgn0039385,403,799,373,350,547,685,662,748
FBgn0039386,7,16,7,18,30,39,33,38
FBgn0039387,14,25,9,11,20,39,25,19
FBgn0051091,5,9,3,2,5,5,1,3
FBgn0051089,1,3,1,1,3,3,3,2
FBgn0039398,2,1,0,0,2,1,5,5
FBgn0000206,2,1,2,3,3,6,6,9
FBgn0002734,3,8,4,5,9,15,16,16
FBgn0002735,11,11,15,5,43,38,55,57
FBgn0002732,19,36,23,14,69,166,60,136
FBgn0002578,1,1,0,0,5,5,2,3
FBgn0002609,1020,1933,927,968,1759,1704,1848,1580
FBgn0002633,23,27,23,28,219,184,196,137
FBgn0000591,1,2,1,0,6,9,10,8
FBgn0001139,440,805,394,386,1248,1382,1208,1394
FBgn0039402,262,491,254,240,618,751,730,820
FBgn0039404,184,398,178,163,268,338,280,371
FBgn0039407,65,163,53,73,96,97,107,100
FBgn0039411,4,7,5,7,9,18,9,10
FBgn0039408,58,100,56,51,79,63,59,56
FBgn0039406,206,355,175,215,399,428,447,400
FBgn0039405,0,0,0,0,0,0,0,0
FBgn0039403,97,172,63,81,130,133,117,126
FBgn0028833,522,967,527,439,1669,2969,2031,3355
FBgn0002629,2,0,0,0,1,3,2,3
FBgn0002592,314,628,233,214,526,714,654,1003
FBgn0002733,544,897,544,516,3024,3275,2798,2828
FBgn0039395,0,2,0,0,1,0,2,1
FBgn0039413,24,59,27,30,204,155,221,171
FBgn0039415,28,49,36,29,110,90,121,121
FBgn0051323,47,97,48,46,153,229,163,213
FBgn0051086,0,0,0,0,0,0,0,0
FBgn0039419,643,1303,810,598,3054,3213,3281,2877
FBgn0039420,2,7,5,2,25,4,5,7
FBgn0000064,294,535,247,258,1298,1423,1459,1600
FBgn0039417,205,340,159,144,333,337,332,390
FBgn0039425,2,1,0,2,5,9,4,5
FBgn0051084,0,0,0,0,2,1,2,0
FBgn0042711,1,3,2,4,5,5,9,4
FBgn0042710,1,6,3,5,1,5,3,2
FBgn0039427,188,319,157,158,361,366,406,412
FBgn0039428,5,7,2,5,4,10,4,11
FBgn0039429,2,6,2,2,5,18,11,13
