Geneid,S2_Ctrl1,S2_Auxin1,S2_Ctrl2,S2_Auxin2
FBgn0039202,9,15,13,9
FBgn0004118,3,3,2,4
FBgn0039217,0,0,0,1
FBgn0039218,106,165,86,75
FBgn0004885,145,310,133,162
FBgn0003719,0,4,1,0
FBgn0000140,387,802,357,403
FBgn0040600,1039,2132,1022,899
FBgn0039225,7,17,6,10
FBgn0039228,34,41,22,27
FBgn0039232,7,7,6,2
FBgn0013953,26,55,23,22
FBgn0039233,296,540,237,263
FBgn0039234,429,809,343,385
FBgn0039238,2,1,0,3
FBgn0013949,14,25,12,11
FBgn0039241,79,154,70,94
FBgn0043799,109,275,129,127
FBgn0039244,0,5,4,2
FBgn0039246,1,1,3,1
FBgn0051382,90,109,49,61
FBgn0039249,217,382,165,183
FBgn0039250,141,273,118,123
FBgn0039251,1,5,1,2
FBgn0051416,187,492,211,238
FBgn0040601,1,5,7,1
FBgn0051121,49,67,34,42
FBgn0039240,222,431,194,202
FBgn0015625,502,1005,457,414
FBgn0039239,3,3,3,1
FBgn0039237,0,0,0,1
FBgn0051105,2,1,2,2
FBgn0039235,21,20,8,17
FBgn0051119,67,142,61,77
FBgn0051357,71,150,77,73
FBgn0051118,16,26,6,23
FBgn0045980,25,42,22,35
FBgn0027617,59,108,51,43
FBgn0027539,481,844,417,389
FBgn0039227,372,692,301,343
FBgn0039226,114,147,92,81
FBgn0039224,1,1,0,0
FBgn0039223,179,332,161,185
FBgn0015591,26,39,34,23
FBgn0039219,321,660,318,324
FBgn0039252,271,575,290,272
FBgn0039254,66,153,75,80
FBgn0039257,18,50,14,19
FBgn0039258,164,325,162,174
FBgn0015240,233,416,220,239
FBgn0051115,54,77,28,40
FBgn0045866,246,518,227,261
FBgn0039264,5,4,6,2
FBgn0039265,712,1271,587,621
FBgn0039266,856,1608,863,851
FBgn0039270,63,101,52,65
FBgn0039271,69,146,74,79
FBgn0039272,12,30,14,22
FBgn0039274,136,259,116,127
FBgn0004897,1,2,1,0
FBgn0004898,4,8,10,4
FBgn0046214,537,944,492,517
FBgn0039282,5,23,7,4
FBgn0039283,8,5,4,4
FBgn0039280,0,0,0,0
FBgn0051510,98,198,69,89
FBgn0039277,13,21,13,13
FBgn0039273,53,141,64,52
FBgn0011336,424,812,406,442
FBgn0039269,102,194,93,83
FBgn0051111,48,84,34,39
FBgn0051109,151,309,128,146
FBgn0039261,201,359,177,177
FBgn0039260,559,1048,527,561
FBgn0039259,75,106,45,57
FBgn0029157,423,828,371,490
FBgn0020626,298,584,298,271
FBgn0051108,147,240,97,101
FBgn0039286,5,7,4,5
FBgn0039288,0,0,1,0
FBgn0039290,63,132,59,60
FBgn0051106,0,0,2,1
FBgn0051103,1,4,0,1
FBgn0039293,136,270,114,140
FBgn0039297,0,1,1,1
FBgn0039298,1,7,3,0
FBgn0039299,0,0,3,1
FBgn0039301,137,267,116,151
FBgn0039302,1376,2629,1221,1364
FBgn0039303,441,796,352,368
FBgn0039305,55,136,70,66
FBgn0039306,145,252,110,143
FBgn0039307,0,1,3,0
FBgn0039310,2,3,0,1
FBgn0051300,5,4,1,0
FBgn0051104,2,4,4,5
FBgn0039315,3,16,9,8
FBgn0039316,19,28,23,12
FBgn0039319,4,3,1,0
FBgn0051370,46,72,39,52
FBgn0051436,87,184,79,84
FBgn0028647,110,239,106,115
FBgn0027376,13,24,12,6
FBgn0039335,112,205,102,108
FBgn0039337,78,125,68,69
FBgn0039338,625,1285,547,525
FBgn0039336,54,135,57,55
FBgn0039329,117,210,95,110
FBgn0039328,320,649,308,306
FBgn0045761,540,962,481,458
FBgn0039326,10,21,9,7
FBgn0039325,2,0,3,2
FBgn0039324,1,1,1,0
FBgn0039323,2,4,1,1
FBgn0051087,0,4,2,0
FBgn0051099,0,4,4,1
FBgn0039321,880,1798,908,925
FBgn0051288,9,11,8,3
FBgn0051097,1,1,0,1
FBgn0051102,6,13,0,2
FBgn0051098,293,520,312,247
FBgn0039312,5,5,1,2
FBgn0039311,2,1,0,4
FBgn0027090,553,1088,485,545
FBgn0039304,66,151,63,90
FBgn0039300,406,766,328,380
FBgn0000158,2,8,3,0
FBgn0039296,275,480,236,249
FBgn0039294,104,179,100,99
FBgn0039291,63,84,46,53
FBgn0022800,11,26,21,9
FBgn0039339,7,11,5,8
FBgn0039341,0,0,0,0
FBgn0039342,0,0,0,1
FBgn0039343,1,2,2,2
FBgn0011666,1661,2895,1773,1559
FBgn0039346,21,29,13,18
FBgn0039347,70,151,56,97
FBgn0039350,423,904,495,405
FBgn0027508,331,692,420,387
FBgn0039344,53,87,48,37
FBgn0040212,208,442,208,213
FBgn0039354,19,31,18,13
FBgn0039356,38,101,44,46
FBgn0039358,230,369,174,198
FBgn0039373,1,5,1,0
FBgn0039374,0,0,0,0
FBgn0011273,0,0,0,0
FBgn0039376,0,1,2,1
FBgn0039379,123,220,114,125
FBgn0039380,3,4,2,4
FBgn0039381,229,454,182,226
FBgn0027865,255,495,238,225
FBgn0040602,4,5,1,6
FBgn0011668,0,0,0,0
FBgn0011669,0,0,0,0
FBgn0011670,0,0,1,1
FBgn0051093,0,0,1,0
FBgn0051380,0,1,0,0
FBgn0039371,2,0,0,2
FBgn0039368,0,0,0,1
FBgn0039367,0,0,0,0
FBgn0066101,20,45,26,25
FBgn0051092,691,1366,678,536
FBgn0039360,135,242,123,108
FBgn0039359,514,977,488,504
FBgn0039357,46,100,40,45
FBgn0039355,45,110,54,52
FBgn0028717,328,597,276,261
FBgn0039385,403,799,373,350
FBgn0039386,7,16,7,18
FBgn0039387,14,25,9,11
FBgn0051091,5,9,3,2
FBgn0051089,1,3,1,1
FBgn0039398,2,1,0,0
FBgn0000206,2,1,2,3
FBgn0002734,3,8,4,5
FBgn0002735,11,11,15,5
FBgn0002732,19,36,23,14
FBgn0002578,1,1,0,0
FBgn0002609,1020,1933,927,968
FBgn0002633,23,27,23,28
FBgn0000591,1,2,1,0
FBgn0001139,440,805,394,386
FBgn0039402,262,491,254,240
FBgn0039404,184,398,178,163
FBgn0039407,65,163,53,73
FBgn0039411,4,7,5,7
FBgn0039408,58,100,56,51
FBgn0039406,206,355,175,215
FBgn0039405,0,0,0,0
FBgn0039403,97,172,63,81
FBgn0028833,522,967,527,439
FBgn0002629,2,0,0,0
FBgn0002592,314,628,233,214
FBgn0002733,544,897,544,516
FBgn0039395,0,2,0,0
FBgn0039413,24,59,27,30
FBgn0039415,28,49,36,29
FBgn0051323,47,97,48,46
FBgn0051086,0,0,0,0
FBgn0039419,643,1303,810,598
FBgn0039420,2,7,5,2
FBgn0000064,294,535,247,258
FBgn0039417,205,340,159,144
FBgn0039425,2,1,0,2
FBgn0051084,0,0,0,0
FBgn0042711,1,3,2,4
FBgn0042710,1,6,3,5
FBgn0039427,188,319,157,158
FBgn0039428,5,7,2,5
FBgn0039429,2,6,2,2
FBgn0039430,1262,2500,1490,1331
FBgn0039431,1115,2234,1096,1181
FBgn0023178,8,22,15,10
FBgn0039424,1,0,1,1
FBgn0039421,0,8,2,4
FBgn0039434,0,2,1,0
FBgn0039440,0,0,0,0
FBgn0039441,1,2,1,0
FBgn0051080,0,0,0,0
FBgn0051081,0,1,1,1
FBgn0039443,0,0,0,1
FBgn0039444,1,1,0,0
FBgn0040607,0,0,0,0
FBgn0039453,1,0,0,1
FBgn0039451,320,630,316,314
FBgn0039449,121,234,90,105
FBgn0023179,266,525,318,294
FBgn0039448,0,2,0,0
FBgn0039439,0,1,0,1
FBgn0039438,0,1,0,0
FBgn0039437,2,0,0,0
FBgn0039436,0,0,0,0
FBgn0039435,0,0,0,0
FBgn0039459,88,157,87,90
FBgn0001197,529,958,430,489
FBgn0002838,47,103,47,49
FBgn0039461,50,92,41,46
FBgn0004359,317,558,285,249
FBgn0039462,29,66,31,27
FBgn0039463,0,7,0,4
FBgn0039466,311,656,293,348
FBgn0039467,1214,2524,1363,1202
FBgn0039469,15,31,11,12
FBgn0051077,11,15,7,13
FBgn0039471,9,5,7,7
FBgn0039470,3,20,4,5
FBgn0051076,9,24,15,21
FBgn0051075,645,1227,682,643
FBgn0041224,3,4,0,3
FBgn0039465,79,164,69,88
FBgn0039464,72,142,80,83
FBgn0051070,143,241,96,96
FBgn0051071,11,33,8,14
FBgn0004510,258,498,247,226
FBgn0003267,72,145,71,73
FBgn0026562,592,1060,478,530
FBgn0027889,272,542,255,278
FBgn0004842,13,35,22,22
FBgn0029170,1,5,2,2
FBgn0039479,7,5,1,7
FBgn0039482,13,16,7,7
FBgn0039483,21,48,14,26
FBgn0039485,14,18,20,10
FBgn0027574,269,521,269,257
FBgn0039489,54,95,47,44
FBgn0039490,8,19,13,7
FBgn0029155,620,1160,544,635
FBgn0039494,791,1504,713,665
FBgn0039495,18,28,18,21
FBgn0051065,19,37,17,23
FBgn0003482,25,28,13,10
FBgn0051068,18,61,29,28
FBgn0005696,185,392,176,219
FBgn0039498,76,145,64,68
FBgn0042111,189,446,220,192
FBgn0051064,108,175,102,117
FBgn0004197,345,635,369,284
FBgn0039492,1352,2564,935,1324
FBgn0039491,16,20,14,17
FBgn0039488,75,154,77,67
FBgn0039487,204,393,178,146
FBgn0039486,1,2,3,1
FBgn0039481,13,17,17,12
FBgn0039480,4,12,2,3
FBgn0003495,902,1608,912,919
FBgn0039478,100,182,118,140
FBgn0039476,1,3,2,2
FBgn0039475,3,3,2,2
FBgn0039474,3,7,3,1
FBgn0039473,3,4,2,4
FBgn0039472,0,3,1,5
FBgn0011289,282,501,299,252
FBgn0039504,18,50,24,32
FBgn0039505,110,196,100,92
FBgn0046247,103,153,77,60
FBgn0039508,406,756,353,366
FBgn0015737,358,725,391,382
FBgn0016061,5,5,2,6
FBgn0039511,0,3,0,0
FBgn0039510,20,33,15,14
FBgn0040609,216,497,188,192
FBgn0039509,203,399,218,221
FBgn0039507,406,763,406,413
FBgn0002441,344,642,325,309
FBgn0039503,22,44,27,30
FBgn0010328,700,1276,594,640
FBgn0010441,233,416,209,218
FBgn0039501,56,103,51,45
FBgn0039500,77,128,69,85
FBgn0039518,0,2,1,1
FBgn0039519,4,3,1,2
FBgn0039520,0,1,2,0
FBgn0039523,4,1,1,1
FBgn0046887,0,0,0,0
FBgn0046886,1,0,0,0
FBgn0046885,1,0,2,2
FBgn0040080,506,977,568,551
FBgn0039528,186,394,169,183
FBgn0039527,49,96,64,73
FBgn0027492,952,1819,879,937
FBgn0039525,10,25,16,10
FBgn0004387,522,866,484,451
FBgn0039522,0,1,0,0
FBgn0039521,0,1,0,1
FBgn0005659,2,5,1,1
FBgn0067407,0,0,0,0
FBgn0039551,1,2,0,1
FBgn0039552,1,2,1,0
FBgn0039555,254,496,245,235
FBgn0003279,853,1636,770,862
FBgn0027579,268,561,300,301
FBgn0039560,314,657,312,328
FBgn0039562,2150,4188,2271,2207
FBgn0039564,89,150,91,95
FBgn0051054,0,0,0,0
FBgn0039566,151,355,177,169
FBgn0039568,1,1,0,0
FBgn0003890,64,119,59,60
FBgn0051131,0,0,0,0
FBgn0051253,0,0,0,0
FBgn0039565,0,0,0,0
FBgn0039563,176,266,122,152
FBgn0039561,628,1160,503,556
FBgn0039559,616,1076,574,589
FBgn0051053,15,23,11,6
FBgn0039558,122,192,107,122
FBgn0039557,86,120,77,69
FBgn0053213,102,188,83,93
FBgn0039554,314,589,275,299
FBgn0002865,99,189,92,89
FBgn0004171,68,122,58,61
FBgn0039576,37,60,34,36
FBgn0039577,35,71,38,38
FBgn0039581,313,604,265,254
FBgn0039584,2,6,1,3
FBgn0039585,2,5,0,1
FBgn0013813,21,41,18,21
FBgn0039588,112,240,84,96
FBgn0003137,2193,4138,2018,1925
FBgn0051051,82,144,73,52
FBgn0039580,478,916,476,469
FBgn0001215,1437,2713,1347,1294
FBgn0039589,171,309,154,149
FBgn0039591,1,1,1,0
FBgn0053346,0,3,0,1
FBgn0039593,6,7,4,0
FBgn0039594,64,101,65,38
FBgn0027655,195,371,185,188
FBgn0039599,1,0,0,0
FBgn0039598,0,1,1,0
FBgn0039597,2,0,1,2
FBgn0039596,3,4,1,1
FBgn0039595,0,0,1,1
FBgn0051050,0,0,3,0
FBgn0039590,483,840,455,438
FBgn0026400,239,418,186,233
FBgn0000659,2,11,4,2
FBgn0039600,738,1444,685,669
FBgn0039602,183,356,148,183
FBgn0039609,3,9,3,5
FBgn0039611,5,7,9,9
FBgn0039613,82,173,76,66
FBgn0027578,756,1322,697,679
FBgn0039616,6,16,7,9
FBgn0039623,239,468,241,271
FBgn0041780,3,6,1,3
FBgn0039622,6,13,9,9
FBgn0039620,12,14,13,6
FBgn0039617,8,12,4,4
FBgn0053203,119,210,89,101
FBgn0039612,593,1129,668,602
FBgn0015589,1020,1878,1043,1123
FBgn0024273,272,564,274,285
FBgn0039601,224,340,160,177
FBgn0005642,496,961,431,510
FBgn0027873,112,246,131,136
FBgn0003093,338,588,326,297
FBgn0039627,64,151,65,61
FBgn0039628,4,10,5,3
FBgn0039629,1,6,3,0
FBgn0039630,0,0,0,1
FBgn0039631,96,156,73,83
FBgn0039633,1069,2004,1042,952
FBgn0039635,309,582,219,304
FBgn0039636,148,293,118,122
FBgn0039637,837,1205,658,656
FBgn0028671,339,559,267,293
FBgn0039640,82,180,82,69
FBgn0028692,644,1113,515,581
FBgn0039644,256,418,227,161
FBgn0039645,4,8,5,3
FBgn0014427,672,1063,635,594
FBgn0051044,895,2003,861,880
FBgn0029176,1441,2518,1269,1295
FBgn0039654,152,337,150,171
FBgn0028476,287,577,268,306
FBgn0003525,4848,9651,4860,5055
FBgn0051445,166,315,144,146
FBgn0051427,4,15,4,10
FBgn0039656,12,30,18,24
FBgn0039655,30,75,31,39
FBgn0062442,140,297,167,140
FBgn0039651,2,5,1,0
FBgn0039650,12,24,7,13
FBgn0039647,1,16,6,6
FBgn0041186,719,1242,666,714
FBgn0041588,134,305,142,148
FBgn0039642,64,89,46,50
FBgn0039641,32,66,41,36
FBgn0039639,22,54,28,31
FBgn0039638,175,323,147,135
FBgn0005596,275,507,256,235
FBgn0039634,215,422,193,231
FBgn0039626,140,295,153,165
FBgn0039625,0,0,0,0
FBgn0039664,337,576,281,330
FBgn0039666,3,0,1,2
FBgn0039667,56,134,68,78
FBgn0039668,316,543,299,287
FBgn0039665,591,1385,767,799
FBgn0040623,0,0,0,0
FBgn0039663,169,332,159,149
FBgn0015622,959,1845,928,904
FBgn0039659,40,119,51,33
FBgn0039669,0,3,2,1
FBgn0000492,114,224,170,115
FBgn0039674,110,214,131,111
FBgn0039677,2,6,4,4
FBgn0039678,41,94,48,53
FBgn0039679,49,112,39,46
FBgn0039680,281,548,300,299
FBgn0013972,110,208,118,112
FBgn0039683,5,15,6,12
FBgn0039684,0,0,0,1
FBgn0039686,5,5,6,6
FBgn0024841,1507,2640,1411,1259
FBgn0042213,137,262,117,128
FBgn0039688,84,140,67,71
FBgn0039687,292,501,252,235
FBgn0039685,2,0,0,2
FBgn0039682,95,137,82,88
FBgn0039681,18,24,14,11
FBgn0025457,214,395,213,231
FBgn0039673,70,178,79,73
FBgn0051041,0,1,1,0
FBgn0039671,1,0,1,0
FBgn0039670,2,1,1,0
FBgn0039689,175,287,146,152
FBgn0039690,170,274,191,153
FBgn0039691,531,901,420,501
FBgn0019972,679,1269,645,668
FBgn0039698,226,422,220,219
FBgn0000247,670,1223,582,621
FBgn0039704,38,85,39,35
FBgn0039707,6,3,9,4
FBgn0039709,56,72,43,43
FBgn0051038,372,526,409,346
FBgn0039719,1,1,1,0
FBgn0051036,4,8,2,2
FBgn0003357,0,2,0,1
FBgn0039723,4,5,11,6
FBgn0039727,264,449,233,226
FBgn0004622,12,7,4,5
FBgn0039726,88,147,89,73
FBgn0051040,187,381,176,181
FBgn0051202,28,48,36,34
FBgn0003358,0,1,1,1
FBgn0003356,0,3,2,1
FBgn0003861,1,8,6,2
FBgn0039722,0,1,3,1
FBgn0039718,13,28,24,19
FBgn0039712,296,517,243,279
FBgn0051032,82,180,102,114
FBgn0039710,396,784,387,406
FBgn0039705,256,514,245,240
FBgn0039703,4,5,2,10
FBgn0039702,132,247,117,107
FBgn0002924,1275,2420,1135,1194
FBgn0039697,484,805,379,462
FBgn0039696,171,312,165,160
FBgn0039694,185,341,141,118
FBgn0020235,898,1709,819,870
FBgn0027518,318,652,319,316
FBgn0027583,240,481,253,209
FBgn0039728,17,29,16,10
FBgn0039731,79,183,94,95
FBgn0039733,190,377,197,170
FBgn0039734,119,237,124,145
FBgn0016685,361,631,352,322
FBgn0026597,231,459,233,214
FBgn0003511,0,0,0,0
FBgn0003510,0,0,0,0
FBgn0003512,278,464,255,238
FBgn0039741,292,444,215,251
FBgn0039743,516,952,436,484
FBgn0039744,2,7,3,6
FBgn0260468,2,0,1,0
FBgn0039748,2,5,0,0
FBgn0039752,2,2,1,1
FBgn0039756,2820,4371,2766,2684
FBgn0039755,53,82,63,60
FBgn0039754,1,3,2,3
FBgn0039751,56,110,53,57
FBgn0051028,6,12,2,9
FBgn0051030,6,2,3,2
FBgn0039749,21,40,16,16
FBgn0039747,6,14,2,5
FBgn0051029,6,7,8,7
FBgn0051025,3,4,4,1
FBgn0003479,92,205,86,79
FBgn0039742,49,132,59,50
FBgn0002626,565,1051,536,558
FBgn0001280,101,219,123,102
FBgn0001281,11,15,11,14
FBgn0041102,2,1,2,0
FBgn0039740,112,205,75,85
FBgn0039739,4,1,0,0
FBgn0039737,1718,2939,1702,1510
FBgn0039735,219,424,187,194
FBgn0039732,45,96,44,39
FBgn0039730,107,226,116,121
FBgn0000032,119,236,121,118
FBgn0000280,4,11,5,5
FBgn0000279,221,395,225,168
FBgn0039760,0,0,1,0
FBgn0039761,0,3,0,0
FBgn0010113,898,1746,857,859
FBgn0015221,1139,2308,1399,1087
FBgn0039765,50,103,42,62
FBgn0039768,3,6,2,5
FBgn0039767,486,911,416,410
FBgn0039766,69,134,72,75
FBgn0039764,62,149,60,59
FBgn0027544,0,0,0,0
FBgn0015222,452,830,441,459
FBgn0051023,189,350,148,158
FBgn0051383,12,37,12,16
FBgn0039759,17,17,12,8
FBgn0039758,3,1,1,1
FBgn0039769,4,8,2,0
FBgn0039774,1462,2694,1267,1227
FBgn0039776,452,659,436,353
FBgn0260440,134,226,116,134
FBgn0039778,4,2,2,1
FBgn0039779,1,4,0,3
FBgn0039782,2,2,2,1
FBgn0039784,4,5,5,3
FBgn0082582,893,1693,777,796
FBgn0039787,127,263,96,128
FBgn0051019,55,88,45,30
FBgn0051021,17,36,14,16
FBgn0051017,52,80,48,42
FBgn0051015,4,4,1,0
FBgn0051013,2,5,0,1
FBgn0039792,3,5,2,2
FBgn0039790,97,202,115,97
FBgn0039789,28,50,15,25
FBgn0039788,250,411,213,210
FBgn0027654,174,288,147,128
FBgn0051524,1,3,4,1
FBgn0039783,6,2,2,2
FBgn0051014,2,3,1,0
FBgn0051371,8,13,9,8
FBgn0039780,3,2,1,2
FBgn0026190,0,5,2,6
FBgn0039777,1,1,4,3
FBgn0039773,122,222,117,130
FBgn0028646,929,1661,990,848
FBgn0039771,8,16,5,8
FBgn0039770,2,3,3,3
FBgn0039795,7,7,3,3
FBgn0039797,7,3,2,2
FBgn0039799,1,2,2,4
FBgn0039802,176,354,168,181
FBgn0027598,1067,1942,1140,1076
FBgn0039804,11,31,8,17
FBgn0039805,4,4,4,4
FBgn0015032,7,13,4,3
FBgn0000416,754,1334,686,739
FBgn0039809,176,330,189,190
FBgn0039808,16,44,20,26
FBgn0039807,2,7,5,6
FBgn0039806,0,6,2,3
FBgn0011739,1273,2494,1139,1253
FBgn0039801,4,11,4,7
FBgn0039800,4,9,1,6
FBgn0039798,0,0,2,2
FBgn0051010,1,2,1,2
FBgn0000274,6,4,3,3
FBgn0039796,4,3,1,3
FBgn0039812,2,10,1,8
FBgn0010015,5,19,9,5
FBgn0016123,530,931,592,426
FBgn0024288,7,11,7,6
FBgn0039820,0,3,2,2
FBgn0039821,20,35,24,19
FBgn0039818,9,10,9,5
FBgn0039816,3,1,0,0
FBgn0002413,574,1005,509,483
FBgn0010808,147,297,114,133
FBgn0004573,12,7,10,6
FBgn0051008,2,1,1,1
FBgn0062411,3,6,2,5
FBgn0039811,0,1,0,2
FBgn0039810,0,3,2,1
FBgn0013973,2,1,3,2
FBgn0004389,2,2,0,0
FBgn0039827,80,207,111,95
FBgn0039828,305,552,271,276
FBgn0039831,645,1249,675,677
FBgn0039835,85,156,56,72
FBgn0039838,3,2,1,2
FBgn0040628,0,2,1,0
FBgn0040629,1,1,2,0
FBgn0039839,2,4,4,1
FBgn0039840,5,13,3,5
FBgn0039836,48,82,53,50
FBgn0051005,49,110,35,53
FBgn0039833,3,19,7,3
FBgn0039832,2,4,2,2
FBgn0039830,1241,2434,1236,1095
FBgn0046696,100,163,105,104
FBgn0039829,179,302,151,142
FBgn0061476,96,227,109,101
FBgn0051004,4,16,6,8
FBgn0046332,8,17,20,5
FBgn0039844,216,415,251,224
FBgn0019990,224,523,237,231
FBgn0039850,4,3,4,1
FBgn0039851,9,12,3,8
FBgn0039852,7,9,10,7
FBgn0028968,726,1335,670,682
FBgn0003268,287,537,265,256
FBgn0039854,11,28,11,19
FBgn0039855,19,26,21,14
FBgn0039856,273,515,297,313
FBgn0039858,1141,2050,967,1040
FBgn0039857,505,1039,477,492
FBgn0043900,306,575,266,334
FBgn0039849,151,287,129,135
FBgn0039848,105,193,113,103
FBgn0039846,121,230,130,128
FBgn0051002,5,5,3,2
FBgn0051204,4,13,3,5
FBgn0039860,137,248,107,115
FBgn0039861,189,382,173,195
FBgn0039862,43,59,23,26
FBgn0039863,287,597,264,302
FBgn0003870,1911,3259,1893,1763
FBgn0039868,121,202,104,106
FBgn0000557,13,24,10,15
FBgn0039869,388,769,421,379
FBgn0039870,419,750,396,460
FBgn0022349,496,943,459,461
FBgn0039875,225,483,192,259
FBgn0005632,816,1557,767,831
FBgn0027620,335,652,291,313
FBgn0039879,18,28,13,11
FBgn0039881,32,73,34,35
FBgn0039882,59,136,79,73
FBgn0039877,200,358,168,208
FBgn0039876,59,115,63,53
FBgn0003065,1,5,0,0
FBgn0039873,4,5,6,4
FBgn0017448,12,25,10,11
FBgn0039872,142,211,105,101
FBgn0000150,1583,3074,1471,1484
FBgn0039867,83,156,71,91
FBgn0039864,25,35,13,24
FBgn0039859,33,73,30,44
FBgn0039883,28,52,30,20
FBgn0039886,152,244,130,122
FBgn0039887,6,19,6,6
FBgn0002780,905,1718,747,799
FBgn0002645,1349,2814,1478,1418
FBgn0040206,472,840,391,388
FBgn0011224,170,360,193,168
FBgn0051616,1,0,0,0
FBgn0051615,0,0,0,0
FBgn0051754,4,12,3,2
FBgn0032956,414,895,362,413
FBgn0051619,337,605,252,284
FBgn0032961,572,1077,583,619
FBgn0003866,165,291,190,134
FBgn0051612,41,97,37,34
FBgn0032964,20,25,9,11
FBgn0000559,2946,5347,2725,2858
FBgn0032966,0,3,0,1
FBgn0032967,2,3,1,1
FBgn0032968,4,2,3,3
FBgn0051700,0,0,0,0
FBgn0051702,0,3,1,2
FBgn0032971,0,1,0,1
FBgn0032973,2,8,5,2
FBgn0025674,561,1004,514,543
FBgn0032972,0,0,0,2
FBgn0040519,0,0,0,1
FBgn0051703,1,5,2,2
FBgn0051601,4,5,3,5
FBgn0032969,11,14,5,4
FBgn0032965,3,1,0,0
FBgn0032981,180,316,167,170
FBgn0042701,5,1,1,4
FBgn0032986,981,1939,1048,1108
FBgn0032988,432,806,356,376
FBgn0039972,977,1782,777,826
FBgn0032987,715,1409,715,725
FBgn0032979,714,1357,754,745
FBgn0033047,0,2,2,1
FBgn0033050,396,831,394,405
FBgn0033055,231,454,223,267
FBgn0033058,34,42,22,20
FBgn0033060,86,165,80,83
FBgn0033063,16,40,17,30
FBgn0011958,230,484,276,297
FBgn0011957,39,61,42,28
FBgn0011932,166,294,142,138
FBgn0011931,24,73,61,30
FBgn0011887,132,173,165,158
FBgn0011880,459,994,525,467
FBgn0011956,60,158,60,92
FBgn0050316,38,99,35,47
FBgn0033065,19,47,24,35
FBgn0040502,9,9,5,7
FBgn0011934,400,725,331,298
FBgn0033069,7,8,10,10
FBgn0050431,25,26,30,22
FBgn0033074,135,268,129,144
FBgn0021847,250,481,222,259
FBgn0033072,40,58,51,36
FBgn0050432,5,9,7,10
FBgn0011935,38,84,53,44
FBgn0033067,5,10,6,6
FBgn0011955,225,627,190,336
FBgn0011890,619,529,515,438
FBgn0000546,1295,1973,1198,1064
FBgn0011888,208,163,303,291
FBgn0011889,201,197,172,175
FBgn0011933,54,128,56,35
FBgn0011938,118,193,82,125
FBgn0011891,791,1350,847,842
FBgn0033062,840,1590,840,874
FBgn0033061,119,252,160,172
FBgn0033056,15,21,14,20
FBgn0033054,14,23,16,8
FBgn0033052,450,942,448,460
FBgn0033051,534,1026,548,569
FBgn0000043,2536,4631,2336,2460
FBgn0033048,10,8,6,10
FBgn0027507,589,1044,517,538
FBgn0033031,9,12,3,11
FBgn0033032,298,492,263,298
FBgn0022288,1337,2499,1239,1205
FBgn0033042,4,6,3,4
FBgn0033043,5,14,7,11
FBgn0033041,9,6,1,2
FBgn0025693,425,740,482,397
FBgn0033038,894,1750,856,968
FBgn0033033,202,405,219,181
FBgn0033029,612,1275,568,580
FBgn0050438,43,115,38,52
FBgn0039970,341,583,306,325
FBgn0033028,170,339,155,155
FBgn0039969,174,384,168,214
FBgn0033027,38,59,28,28
FBgn0050440,42,52,20,33
FBgn0042085,530,982,459,504
FBgn0029131,640,1254,835,701
FBgn0050443,116,220,108,117
FBgn0013732,135,253,127,129
FBgn0033085,117,246,88,99
FBgn0033086,118,212,103,101
FBgn0033088,84,144,86,77
FBgn0033092,30,64,43,54
FBgn0033090,16,27,15,10
FBgn0033093,140,266,140,123
FBgn0014009,173,324,163,157
FBgn0028579,358,699,349,364
FBgn0042083,160,365,169,188
FBgn0027066,806,1457,648,717
FBgn0000473,195,365,157,167
FBgn0033101,959,1930,1024,953
FBgn0033100,119,222,99,101
FBgn0010482,52,98,57,49
FBgn0033097,2,1,3,1
FBgn0033096,3,8,2,2
FBgn0033095,0,0,0,0
FBgn0050446,51,115,56,73
FBgn0033089,93,133,68,60
FBgn0033087,291,572,292,289
FBgn0033081,472,897,412,392
FBgn0033079,365,824,414,328
FBgn0026761,330,540,271,286
FBgn0033076,6,5,2,4
FBgn0014028,229,453,213,201
FBgn0033108,9,19,9,9
FBgn0033113,687,1120,564,593
FBgn0028988,61,111,50,71
FBgn0033115,8,17,8,11
FBgn0050158,2,2,5,3
FBgn0033117,126,257,119,120
FBgn0053348,3,3,1,0
FBgn0053349,3,8,7,6
FBgn0033122,169,314,182,183
FBgn0029508,3,8,10,2
FBgn0042086,0,1,0,0
FBgn0050160,0,0,0,0
FBgn0033124,8,16,7,8
FBgn0029506,576,1042,473,521
FBgn0029507,248,454,209,225
FBgn0022960,191,326,144,131
FBgn0050156,59,95,49,52
FBgn0033121,125,232,116,137
FBgn0050157,70,141,65,59
FBgn0011895,0,1,1,1
FBgn0011894,0,0,0,0
FBgn0011893,48,83,39,41
FBgn0011892,101,389,123,125
FBgn0066292,4,5,2,4
FBgn0066293,2,4,3,4
FBgn0033112,42,82,40,54
FBgn0033110,107,227,122,132
FBgn0040674,1,3,1,0
FBgn0022224,37,54,31,25
FBgn0034511,0,0,1,0
FBgn0050154,1,9,6,6
FBgn0034512,1,5,1,1
FBgn0034513,0,0,0,0
FBgn0034520,33,55,24,34
FBgn0034527,297,557,330,272
FBgn0034529,155,312,156,141
FBgn0034532,117,197,82,98
FBgn0034534,95,136,82,88
FBgn0034535,112,196,98,105
FBgn0034537,123,224,101,115
FBgn0034540,12,30,19,24
FBgn0050155,6,22,14,17
FBgn0034541,14,40,14,25
