Geneid,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0017456,49,63,60,58
FBgn0015576,1111,1321,1201,1501
FBgn0037506,110,150,154,158
FBgn0015577,4651,4303,5441,4799
FBgn0015569,3494,3453,4020,3849
FBgn0012001,468,377,555,398
FBgn0037504,522,581,592,635
FBgn0043853,37,41,47,42
FBgn0012000,1253,1129,1414,1135
FBgn0040670,26,43,33,22
FBgn0037472,533,679,628,719
FBgn0051248,101,95,129,98
FBgn0051494,364,317,395,352
FBgn0051493,3,1,2,3
FBgn0037475,4,7,9,4
FBgn0037478,281,336,332,335
FBgn0011020,436,526,494,459
FBgn0002306,31,41,35,38
FBgn0037483,14,13,15,16
FBgn0037487,55,41,54,44
FBgn0037488,63,77,78,72
FBgn0037490,213,228,211,203
FBgn0037492,84,92,105,109
FBgn0028400,9,7,8,10
FBgn0037493,5,5,2,3
FBgn0045843,4,3,8,3
FBgn0051496,3,2,9,8
FBgn0051501,19,22,8,23
FBgn0004172,1,0,0,0
FBgn0004173,2,3,3,1
FBgn0004174,1,1,0,0
FBgn0004175,1,1,0,0
FBgn0037500,1,1,3,2
FBgn0037498,4,1,1,5
FBgn0001112,136,120,144,144
FBgn0011282,17,5,11,10
FBgn0037491,119,106,108,149
FBgn0037489,376,359,413,426
FBgn0037486,27,13,26,19
FBgn0037485,4,9,17,7
FBgn0037482,623,857,758,973
FBgn0037481,126,169,124,170
FBgn0037477,0,0,0,0
FBgn0051491,597,413,800,508
FBgn0037473,267,331,314,348
FBgn0014863,125,154,121,153
FBgn0000071,193,186,263,202
FBgn0000439,7,8,12,9
FBgn0026162,395,314,476,428
FBgn0026164,19,28,27,17
FBgn0000003,424,280,583,310
FBgn0001077,6,4,0,3
FBgn0024289,2,7,5,6
FBgn0026563,4,11,4,10
FBgn0037463,12,13,13,12
FBgn0037464,145,201,168,182
FBgn0037466,719,767,730,781
FBgn0037468,1046,1325,1069,1261
FBgn0037469,375,451,369,392
FBgn0003884,10455,11104,10466,10861
FBgn0037470,350,452,368,420
FBgn0010774,1549,1636,1561,1696
FBgn0037467,694,788,640,703
FBgn0037465,447,513,491,551
FBgn0003339,14,17,15,18
FBgn0011904,103,17,46,17
FBgn0026163,28,21,23,32
FBgn0000166,4,6,5,3
FBgn0004053,0,0,0,0
FBgn0004054,0,0,0,0
FBgn0037448,12,17,12,13
FBgn0037449,1,2,0,7
FBgn0046873,1,1,1,1
FBgn0051482,0,0,0,0
FBgn0037462,0,1,0,0
FBgn0051286,0,0,0,0
FBgn0010355,836,962,946,996
FBgn0004777,0,2,0,1
FBgn0004780,0,0,2,0
FBgn0004783,1,0,0,2
FBgn0004782,0,0,0,1
FBgn0004781,0,1,2,1
FBgn0004779,1,1,0,0
FBgn0004778,1,0,0,0
FBgn0024912,483,641,581,742
FBgn0026566,602,566,590,676
FBgn0026565,0,1,1,0
FBgn0037461,0,1,1,2
FBgn0037460,1,1,0,0
FBgn0037456,0,1,1,0
FBgn0053202,5,2,10,4
FBgn0037454,1,0,0,0
FBgn0011919,84,80,101,102
FBgn0037429,58,66,75,64
FBgn0037430,40,21,20,28
FBgn0037431,55,45,52,38
FBgn0037432,33,28,30,18
FBgn0037433,91,141,100,131
FBgn0037435,218,193,201,235
FBgn0037436,4,8,4,2
FBgn0037439,717,794,758,845
FBgn0010282,404,501,434,506
FBgn0037442,1128,1196,1274,1418
FBgn0037446,311,325,312,397
FBgn0037447,6,1,1,3
FBgn0037445,764,898,849,897
FBgn0037443,3249,3010,3387,3200
FBgn0037440,386,472,420,402
FBgn0037512,4,0,2,0
FBgn0037514,7,2,3,1
FBgn0037515,2575,2014,2641,2187
FBgn0037517,9,6,1,4
FBgn0037518,679,821,735,859
FBgn0051472,283,351,314,426
FBgn0051473,69,101,72,98
FBgn0037526,370,334,359,374
FBgn0024909,372,420,412,451
FBgn0014931,155,224,186,289
FBgn0002542,468,538,484,542
FBgn0000504,222,203,190,165
FBgn0037531,328,458,316,504
FBgn0014930,332,460,371,475
FBgn0004901,805,755,898,843
FBgn0037530,517,544,555,495
FBgn0037529,130,139,119,137
FBgn0037521,3,9,11,8
FBgn0037520,37,24,43,17
FBgn0037519,159,49,199,67
FBgn0042101,31,43,41,42
FBgn0042103,3,4,6,6
FBgn0042105,1,2,0,0
FBgn0042102,4,12,7,12
FBgn0042104,17,25,13,40
FBgn0037516,4,3,4,2
FBgn0037513,479,421,576,448
FBgn0010401,3,2,1,3
FBgn0037535,379,469,453,489
FBgn0037536,607,636,705,665
FBgn0037538,407,471,439,511
FBgn0037540,497,708,533,685
FBgn0037543,78,87,95,119
FBgn0037546,209,113,233,124
FBgn0037547,82,44,69,51
FBgn0037548,966,362,1016,405
FBgn0037551,435,401,482,476
FBgn0037552,294,324,288,321
FBgn0037553,119,125,134,144
FBgn0037554,649,696,730,761
FBgn0040528,36,44,37,30
FBgn0037556,537,647,577,697
FBgn0001138,36,22,32,38
FBgn0011959,473,445,557,483
FBgn0011960,323,167,237,208
FBgn0011961,165,111,156,161
FBgn0011962,356,321,434,391
FBgn0011963,275,192,253,221
FBgn0051583,510,583,473,491
FBgn0037544,93,117,107,106
FBgn0037541,1115,1479,1218,1417
FBgn0001255,44,55,39,59
FBgn0037539,486,586,550,637
FBgn0040524,9,5,3,6
FBgn0037537,962,895,957,1016
FBgn0037534,55,62,60,90
FBgn0037533,3413,2892,3428,2769
FBgn0014861,534,610,480,537
FBgn0010433,2,1,0,5
FBgn0037562,12,47,25,74
FBgn0051464,0,6,1,3
FBgn0051463,2,1,7,10
FBgn0037566,285,339,340,373
FBgn0037572,13,8,7,4
FBgn0037573,912,1059,1023,1170
FBgn0062412,4,8,6,8
FBgn0037576,5,6,5,3
FBgn0037577,4,4,4,2
FBgn0004908,221,309,283,322
FBgn0037579,10,45,18,38
FBgn0037580,815,927,929,1163
FBgn0037581,358,346,441,343
FBgn0020249,1605,1647,1843,1972
FBgn0037584,86,93,77,83
FBgn0037589,7,5,10,2
FBgn0037583,1094,1167,1122,1155
FBgn0037578,380,448,461,481
FBgn0040529,251,254,247,288
FBgn0003129,47,72,63,75
FBgn0037574,645,780,693,877
FBgn0037571,5,6,6,4
FBgn0037570,15,21,20,16
FBgn0037569,157,183,164,188
FBgn0037565,33,23,52,22
FBgn0037563,10,18,10,22
FBgn0037561,255,324,317,321
FBgn0010173,714,995,796,1069
FBgn0037592,417,340,464,354
FBgn0051454,77,61,97,47
FBgn0051259,17,10,26,12
FBgn0037594,0,0,2,1
FBgn0051460,128,116,100,112
FBgn0037602,215,233,224,246
FBgn0037603,508,489,583,532
FBgn0037606,409,349,440,373
FBgn0037607,3407,3154,3704,3192
FBgn0012024,7194,4710,6606,5196
FBgn0012025,5851,3897,5453,4027
FBgn0012026,3447,1847,3172,1735
FBgn0000447,670,594,671,621
FBgn0024326,734,601,795,709
FBgn0037601,31,35,28,38
FBgn0012027,5545,3699,5047,3769
FBgn0012028,1848,1138,1803,1217
FBgn0026399,2,5,5,10
FBgn0051450,275,257,264,276
FBgn0051453,634,677,698,740
FBgn0037591,1,2,2,3
FBgn0037590,3,1,0,1
FBgn0037608,343,375,407,437
FBgn0037610,148,124,153,124
FBgn0037611,60,54,75,57
FBgn0037612,0,0,0,0
FBgn0037614,587,615,689,762
FBgn0037615,34,33,34,54
FBgn0037616,109,170,117,172
FBgn0037617,168,167,181,158
FBgn0037618,42,47,52,37
FBgn0037619,259,241,236,249
FBgn0037622,365,361,408,368
FBgn0037624,612,612,757,627
FBgn0037626,6,15,12,6
FBgn0037630,42,32,27,25
FBgn0037632,2179,1843,2421,2007
FBgn0037634,646,629,665,536
FBgn0040532,755,670,833,809
FBgn0037638,905,937,1043,935
FBgn0011966,351,249,405,305
FBgn0037637,1318,1159,1458,1551
FBgn0037633,1056,885,1128,901
FBgn0053189,9,5,15,4
FBgn0053191,17,12,22,10
FBgn0037627,10,8,6,7
FBgn0037625,0,0,0,0
FBgn0037623,444,360,485,495
FBgn0037621,505,531,554,573
FBgn0037620,141,141,148,146
FBgn0037613,454,375,489,451
FBgn0001180,51,71,80,92
FBgn0053325,62,61,54,42
FBgn0037609,578,656,703,791
FBgn0037643,1022,846,1023,944
FBgn0037646,1017,925,1174,913
FBgn0027503,921,880,998,944
FBgn0037648,619,556,732,670
FBgn0037650,8,5,12,9
FBgn0037652,489,421,488,488
FBgn0037653,605,566,690,680
FBgn0037654,225,216,225,225
FBgn0037656,226,228,244,270
FBgn0037657,787,611,854,603
FBgn0028708,880,719,856,834
FBgn0037659,7681,6656,8742,6791
FBgn0037661,178,176,168,188
FBgn0037662,115,107,106,106
FBgn0037664,9,14,11,13
FBgn0037665,2,4,5,4
FBgn0037666,18,18,19,20
FBgn0037667,175,153,172,162
FBgn0037670,255,347,313,393
FBgn0037671,996,946,1100,1016
FBgn0010803,1093,1131,1246,1322
FBgn0037672,403,464,442,477
FBgn0037669,146,198,169,193
FBgn0037668,120,131,123,120
FBgn0000412,572,596,511,621
FBgn0003165,3718,2688,4100,3064
FBgn0037660,592,550,643,613
FBgn0010222,1352,762,1317,807
FBgn0002932,1471,1473,1390,1525
FBgn0040534,208,177,199,218
FBgn0037655,1005,909,1107,1085
FBgn0026380,636,684,713,738
FBgn0051100,130,137,134,149
FBgn0037647,548,562,565,542
FBgn0037644,716,667,722,705
FBgn0037675,1,0,1,1
FBgn0037680,695,563,706,606
FBgn0037683,401,380,459,540
FBgn0037684,182,132,183,114
FBgn0037685,160,163,186,161
FBgn0037687,170,161,231,153
FBgn0037689,0,0,0,0
FBgn0011740,509,430,568,490
FBgn0037697,42,50,51,54
FBgn0037696,91,94,88,86
FBgn0037690,8,9,3,11
FBgn0003889,69,54,73,49
FBgn0037688,291,263,301,237
FBgn0037686,1302,1043,1319,1153
FBgn0000723,529,353,595,332
FBgn0037679,268,271,301,277
FBgn0037678,31,48,37,39
FBgn0037677,10,7,7,4
FBgn0037676,11,60,22,51
FBgn0037700,1022,880,1003,936
FBgn0014022,223,235,236,218
FBgn0037703,236,251,277,260
FBgn0037702,512,523,549,522
FBgn0037707,502,441,498,456
FBgn0037709,273,237,317,259
FBgn0027950,739,748,815,796
FBgn0037712,116,153,120,142
FBgn0037717,492,578,547,555
FBgn0037718,1582,1604,1904,1801
FBgn0037720,1379,976,1461,1179
FBgn0037722,569,571,653,567
FBgn0037723,926,629,962,646
FBgn0012344,51,32,46,30
FBgn0037727,185,126,179,155
FBgn0037728,915,920,1035,940
FBgn0028997,173,167,190,219
FBgn0037731,0,0,0,0
FBgn0052939,0,1,1,0
FBgn0003886,24,23,37,40
FBgn0002431,1591,1443,1702,1519
FBgn0037734,369,379,392,416
FBgn0051352,6348,4333,6373,5497
FBgn0053105,0,0,0,0
FBgn0260463,0,0,0,0
FBgn0069242,166,157,162,138
FBgn0037730,197,181,200,145
FBgn0037724,17,9,20,16
FBgn0003334,1052,810,1039,855
FBgn0005585,5014,4265,5352,4776
FBgn0037721,61,65,83,66
FBgn0027338,1540,1236,1627,1389
FBgn0037715,1311,1256,1350,1258
FBgn0037714,101,138,106,116
FBgn0037713,199,191,224,212
FBgn0037710,1659,1506,1970,1653
FBgn0024833,543,483,529,532
FBgn0037708,479,470,545,481
FBgn0037705,726,717,780,764
FBgn0000244,5131,4892,6847,4642
FBgn0014023,256,212,256,264
FBgn0003205,1432,1299,1520,1549
FBgn0014380,4457,3704,4608,3840
FBgn0037698,90,81,103,79
FBgn0037737,329,315,341,339
FBgn0051415,23,22,31,31
FBgn0005777,653,663,781,727
FBgn0037743,386,470,484,512
FBgn0037751,149,179,148,171
FBgn0037753,42,121,49,158
FBgn0037754,106,465,119,530
FBgn0037756,472,411,551,537
FBgn0037757,659,595,719,702
FBgn0037759,221,207,203,190
FBgn0037761,1,0,0,0
FBgn0037762,0,0,3,1
FBgn0037770,1464,1261,1590,1276
FBgn0037766,16,19,17,18
FBgn0037765,1,2,3,2
FBgn0037763,2,1,2,1
FBgn0037760,1045,874,1153,892
FBgn0037758,670,685,779,703
FBgn0037755,844,799,899,864
FBgn0002868,238,833,279,1032
FBgn0037750,233,271,257,288
FBgn0037749,198,214,239,212
FBgn0024330,567,540,571,547
FBgn0037742,63,121,72,91
FBgn0037741,434,496,412,480
FBgn0037739,720,803,811,948
FBgn0037736,6,17,15,13
FBgn0037772,74,80,83,67
FBgn0027524,329,275,361,352
FBgn0037778,175,145,176,159
FBgn0037780,757,636,760,716
FBgn0051410,1,0,0,0
FBgn0037783,1,0,2,2
FBgn0041105,183,145,219,175
FBgn0037788,2428,3476,4120,2747
FBgn0051477,19,12,22,22
FBgn0037796,22,19,24,22
FBgn0040238,6965,5869,7651,6566
FBgn0037794,309,259,324,256
FBgn0037792,623,505,626,526
FBgn0004889,1278,1060,1403,1133
FBgn0001321,127,112,135,102
FBgn0028734,2750,2407,2787,2368
FBgn0037786,75,85,103,81
FBgn0037782,2,1,3,2
FBgn0037781,227,202,253,190
FBgn0037779,423,398,455,423
FBgn0037777,294,267,272,253
FBgn0053208,3241,2834,3499,3073
FBgn0051407,65,43,58,43
FBgn0037773,157,147,152,176
FBgn0045473,6,7,5,15
FBgn0037797,3,7,12,9
FBgn0037801,68,76,88,75
FBgn0040078,407,382,489,428
FBgn0037809,143,166,166,183
FBgn0037810,1142,1250,1189,1188
FBgn0037811,17,19,20,13
FBgn0051406,36,45,23,36
FBgn0015396,3911,3752,3453,3605
FBgn0020379,186,219,201,187
FBgn0037807,4611,4002,5200,4097
FBgn0011970,561,305,354,986
FBgn0037802,169,112,175,164
FBgn0037798,2,2,4,5
FBgn0025879,1505,2371,1881,3065
FBgn0045443,308,269,321,228
FBgn0037815,344,321,387,344
FBgn0037817,1181,1041,1363,1097
FBgn0037816,246,175,234,176
FBgn0024957,4637,4819,5002,4611
FBgn0037814,1095,1030,1341,1048
FBgn0037824,39,25,46,34
FBgn0037827,1,3,2,3
FBgn0037831,553,403,609,377
FBgn0037832,3,9,8,4
FBgn0017577,352,349,309,331
FBgn0037835,12,10,12,16
FBgn0037838,194,197,173,190
FBgn0037841,117,123,123,111
FBgn0037843,876,816,877,1033
FBgn0037844,157,133,144,113
FBgn0037848,1288,1504,1488,1786
FBgn0037849,15,30,10,22
FBgn0011768,1088,1018,1174,1119
FBgn0037846,85,97,105,96
FBgn0037845,42,56,47,39
FBgn0037842,234,214,270,227
FBgn0037837,34,18,13,20
FBgn0037834,595,581,656,608
FBgn0010421,538,441,587,487
FBgn0051390,321,282,408,311
FBgn0051272,15,20,16,16
FBgn0037829,0,2,4,4
FBgn0004841,25,26,24,32
FBgn0037828,0,1,0,2
FBgn0037826,1,2,2,2
FBgn0051373,1,1,1,2
FBgn0051278,185,161,201,183
FBgn0051467,103,88,108,105
FBgn0051391,55,64,77,67
FBgn0037819,48,27,31,33
FBgn0037818,4,7,3,2
FBgn0037856,739,740,849,730
FBgn0037857,2,1,3,1
FBgn0037855,879,788,976,897
FBgn0042094,442,267,473,262
FBgn0037853,4215,4416,4560,4986
FBgn0037852,1247,1429,1529,1597
FBgn0037850,459,503,527,575
FBgn0037862,1,8,2,3
FBgn0040257,28,10,40,15
FBgn0040259,4928,3817,5638,4381
FBgn0027584,16,29,28,21
FBgn0040252,29,16,27,22
FBgn0037870,29,17,28,22
FBgn0037874,3897,3511,4330,3413
FBgn0037876,709,641,827,677
FBgn0020910,4423,3887,5125,3884
FBgn0037879,90,84,99,86
FBgn0037880,227,256,309,244
FBgn0037883,165,200,222,292
FBgn0037885,296,323,296,372
FBgn0051441,180,194,144,165
FBgn0051388,167,185,170,155
FBgn0037889,53,54,47,59
FBgn0037891,484,418,529,490
FBgn0037890,1537,1509,1728,1736
FBgn0037888,24,20,20,16
FBgn0037884,919,1160,1127,1344
FBgn0037882,192,301,251,389
FBgn0037881,390,405,431,405
FBgn0037878,379,348,331,391
FBgn0037877,509,447,560,522
FBgn0037875,548,470,639,515
FBgn0037873,551,532,645,599
FBgn0040250,6,3,8,12
FBgn0026315,1148,662,1478,847
FBgn0026314,15,29,13,20
FBgn0040255,5,3,5,6
FBgn0040253,1,2,2,3
FBgn0040251,132,44,146,69
FBgn0040256,954,361,954,350
FBgn0037860,1,3,0,1
FBgn0037892,381,376,448,374
FBgn0011774,654,892,824,1069
FBgn0037894,981,843,1081,901
FBgn0037897,1089,1179,1417,1327
FBgn0037898,168,176,207,172
FBgn0037900,450,580,488,605
FBgn0037902,169,242,179,252
FBgn0046225,94,73,65,81
FBgn0037908,10,17,7,11
FBgn0037906,207,134,212,127
FBgn0051374,98,109,95,120
FBgn0037901,430,422,466,509
FBgn0037899,736,727,896,815
FBgn0037896,6,14,17,16
FBgn0037895,54,55,48,59
FBgn0026064,0,0,0,0
FBgn0026063,0,0,0,0
FBgn0037910,2,2,6,3
FBgn0037911,450,415,472,424
FBgn0037916,97,108,102,108
FBgn0037917,537,513,568,530
FBgn0037920,268,215,306,259
FBgn0037922,49,53,68,58
FBgn0042205,152,167,170,160
FBgn0037924,1206,1044,1271,1146
FBgn0037926,1362,1398,1653,1579
FBgn0037930,296,239,351,266
FBgn0037933,298,267,316,330
FBgn0037939,80,35,79,29
FBgn0025821,12,6,6,3
FBgn0037940,5,2,3,3
FBgn0037941,12,14,13,4
FBgn0037942,430,492,461,474
FBgn0037943,342,349,415,353
FBgn0037944,577,544,594,546
FBgn0002906,497,450,552,522
FBgn0037937,21,14,42,18
FBgn0042110,1313,427,1640,495
FBgn0037936,456,257,488,257
FBgn0037935,28,34,38,38
FBgn0037934,479,525,507,573
FBgn0011290,824,819,820,936
FBgn0037931,473,399,466,416
FBgn0037923,114,96,90,107
FBgn0037921,708,522,796,431
FBgn0051363,3816,3955,4415,3713
FBgn0037918,1079,993,1183,1003
FBgn0037915,702,690,750,708
FBgn0037950,60,82,85,81
FBgn0019624,565,509,669,518
FBgn0003312,91,81,89,90
FBgn0051368,568,470,600,565
FBgn0037964,14,7,7,5
FBgn0051211,867,795,994,931
FBgn0013276,2296,1484,2005,1549
FBgn0000147,344,358,358,304
FBgn0037970,0,0,0,0
FBgn0037976,12,21,19,22
FBgn0037975,606,311,621,363
FBgn0037974,81,37,83,49
FBgn0037973,535,324,574,365
FBgn0037972,112,63,113,57
FBgn0013275,60,63,52,70
FBgn0037963,2028,1854,2435,1734
FBgn0037962,70,48,68,49
FBgn0037960,2438,1658,2702,1728
FBgn0037958,250,217,287,237
FBgn0037956,299,215,285,243
FBgn0037955,562,479,647,570
FBgn0051116,649,1042,686,1041
FBgn0025802,578,535,653,588
FBgn0037949,464,398,514,452
FBgn0017581,7394,6308,7938,6937
FBgn0037979,415,447,473,475
FBgn0037981,169,160,217,187
FBgn0037985,3,3,0,1
FBgn0051361,40,52,38,61
FBgn0011905,134,87,111,131
FBgn0037995,14,2,12,2
FBgn0037994,15,5,15,11
FBgn0037993,7,3,3,2
FBgn0037992,10,0,3,1
FBgn0037989,1341,586,1125,432
FBgn0037988,3,3,0,4
FBgn0037987,2,1,0,1
FBgn0051358,0,1,0,0
FBgn0037980,321,267,351,332
FBgn0037978,609,495,712,563
FBgn0051356,197,124,242,155
FBgn0038000,4,0,2,4
FBgn0038003,2,4,0,0
FBgn0038008,3,3,4,3
FBgn0003651,75,103,111,137
FBgn0038009,0,1,1,1
FBgn0038011,2,2,0,1
FBgn0038012,2,3,3,6
FBgn0038017,71,64,71,71
FBgn0010038,38,29,71,40
FBgn0010039,3073,2269,3364,2314
FBgn0010040,101,74,124,106
FBgn0010041,323,176,366,281
FBgn0010042,7,5,15,8
FBgn0010043,46,16,38,25
FBgn0010044,3,3,5,3
FBgn0038029,5,1,3,3
FBgn0053098,13,4,12,7
FBgn0038038,1226,1389,1509,1500
FBgn0038039,1391,1518,1485,1548
FBgn0082831,1122,1123,1249,1235
FBgn0038043,469,459,583,531
FBgn0038045,171,142,169,119
FBgn0038047,425,556,494,621
FBgn0038049,336,302,402,367
FBgn0043043,95,65,70,70
FBgn0029512,573,581,569,602
FBgn0038046,748,698,825,826
FBgn0004103,1957,1949,2325,2275
FBgn0038042,97,101,78,89
FBgn0000455,439,443,465,471
FBgn0038037,621,364,642,345
FBgn0038034,5242,3590,5680,3638
FBgn0038028,9,10,4,4
FBgn0038020,356,271,435,364
FBgn0042206,134,103,149,168
FBgn0038018,19,19,20,21
FBgn0038016,1477,1358,1648,1563
FBgn0038014,212,255,272,220
FBgn0038013,231,244,240,244
FBgn0051432,76,55,72,56
FBgn0038007,2,2,1,1
FBgn0038006,2,0,2,1
FBgn0038005,5,1,5,5
FBgn0011270,2,0,0,1
FBgn0038001,1,0,1,2
FBgn0037999,192,195,202,221
FBgn0037998,434,408,471,418
FBgn0037996,4,5,7,5
FBgn0038053,2040,1404,2053,1405
FBgn0038054,141,69,154,72
FBgn0038055,590,548,692,530
FBgn0038057,142,161,152,141
FBgn0051354,2,0,5,0
FBgn0013278,65,18,56,39
FBgn0013279,46,13,43,18
FBgn0028374,3,2,2,3
FBgn0038065,1464,1294,1609,1514
FBgn0260444,413,385,499,396
FBgn0042207,80,88,85,82
FBgn0038067,18,15,16,13
FBgn0038068,9,10,11,26
FBgn0038069,7,11,9,5
FBgn0038071,96,142,128,179
FBgn0038072,119,113,158,134
FBgn0038073,430,347,481,345
FBgn0038074,269,308,287,303
FBgn0011745,447,345,496,420
FBgn0038079,16,13,20,12
FBgn0016693,2580,2281,2974,2407
FBgn0038080,440,442,564,489
FBgn0038082,3,8,7,7
FBgn0038084,9,4,6,9
FBgn0038083,12,13,24,9
FBgn0002719,4821,3821,5354,4316
FBgn0002905,2053,1885,2165,1938
FBgn0038078,109,99,141,109
FBgn0051347,311,292,385,357
FBgn0005355,585,540,658,645
FBgn0001296,259,160,339,174
FBgn0038076,21,18,22,21
FBgn0026207,555,580,581,568
FBgn0038070,14,14,11,11
FBgn0005671,1485,1240,1645,1411
FBgn0052865,654,953,1683,993
FBgn0013277,77,62,163,69
FBgn0038058,305,235,273,284
FBgn0038056,799,803,904,865
FBgn0038051,0,0,0,0
FBgn0038089,1,1,1,6
FBgn0038092,34,41,31,40
FBgn0038090,44,17,6,21
FBgn0038088,25,24,26,39
FBgn0051345,4,4,2,1
FBgn0038095,243,181,239,158
FBgn0038099,75,65,108,92
FBgn0038100,2329,2179,2359,2237
FBgn0051342,3260,2589,3386,2761
FBgn0038106,925,1088,1257,1096
FBgn0038108,5434,3810,6064,4123
FBgn0038109,422,428,508,496
FBgn0002354,1194,1109,1448,1191
FBgn0003308,1528,1501,1652,1486
FBgn0038113,778,520,942,575
FBgn0038114,258,173,291,174
FBgn0001217,468,473,513,475
FBgn0051157,133,85,159,91
FBgn0004666,148,41,156,36
FBgn0038118,87,104,115,80
FBgn0038115,1455,712,1546,834
FBgn0003450,241,184,256,160
FBgn0038110,1097,1057,1209,1091
FBgn0038107,0,0,0,0
FBgn0038105,1803,1012,2155,1140
FBgn0041710,11166,8097,13105,9383
FBgn0038102,465,392,499,398
FBgn0038098,602,362,541,317
FBgn0040493,721,809,794,821
FBgn0038097,89,67,93,64
FBgn0038122,6,3,0,1
FBgn0038124,1,4,7,4
FBgn0038125,5,2,0,3
FBgn0040551,1518,1233,1790,1497
FBgn0003598,1679,1416,1907,1732
FBgn0038130,90,69,110,77
FBgn0038133,2,6,2,6
FBgn0038135,11,11,13,16
FBgn0038136,14,9,11,9
FBgn0052473,1249,982,1447,1285
FBgn0038140,5,4,6,7
FBgn0045442,6,3,6,3
FBgn0027610,3311,2686,3990,3284
FBgn0038142,32,33,26,26
FBgn0038144,156,138,156,117
FBgn0038145,2031,1447,2135,1603
FBgn0038148,196,38,166,28
FBgn0041711,5,3,6,2
FBgn0038151,6,6,5,4
FBgn0038150,1,5,4,6
FBgn0038149,2272,790,2227,760
FBgn0040553,32,8,26,6
FBgn0038147,5,5,9,8
FBgn0038146,1224,853,1239,972
FBgn0044511,164,116,147,164
FBgn0038143,598,251,552,267
FBgn0023495,7,9,15,15
FBgn0038134,3,4,5,6
FBgn0038132,2,2,5,0
FBgn0038129,875,779,978,846
FBgn0038128,275,258,308,261
FBgn0000024,680,389,680,412
FBgn0038127,1,4,6,4
FBgn0038126,9,7,6,7
FBgn0038123,2,5,4,0
FBgn0038153,2,5,1,1
FBgn0000046,68,63,69,71
FBgn0038158,0,0,2,0
FBgn0038159,1,1,1,2
FBgn0051337,50,23,68,20
FBgn0038157,0,0,2,0
FBgn0040554,16,24,16,20
FBgn0004049,575,575,575,692
FBgn0038161,0,2,1,2
FBgn0038163,280,348,286,283
FBgn0015778,1366,1317,1405,1358
FBgn0038167,372,384,380,389
FBgn0024555,1698,1813,1877,1902
FBgn0038170,248,222,243,256
FBgn0002937,46,51,67,51
FBgn0038173,55,79,79,80
FBgn0038179,10,14,9,21
FBgn0038180,21,17,13,19
FBgn0038181,5,8,6,10
FBgn0260464,0,0,0,0
FBgn0038183,154,166,183,195
FBgn0000454,750,958,905,1145
FBgn0051588,936,1066,1000,763
FBgn0051331,1454,1076,396,1155
FBgn0038172,69,81,60,80
FBgn0028487,211,217,195,200
FBgn0038168,2026,2353,2501,2559
FBgn0038166,131,143,173,185
FBgn0038165,414,399,394,373
FBgn0004237,2484,2108,2545,2569
FBgn0010258,98,172,116,110
FBgn0003060,0,1,0,0
FBgn0038160,0,2,2,1
FBgn0000576,10,7,16,15
FBgn0047199,1,0,0,0
FBgn0016672,191,208,198,265
FBgn0015270,368,389,319,328
FBgn0038195,985,848,1074,967
FBgn0038196,821,791,890,938
FBgn0038191,31,45,37,34
FBgn0038190,1,2,1,1
FBgn0038189,3,5,5,3
FBgn0038188,1,3,4,1
FBgn0008646,3,3,8,5
FBgn0038186,1,2,1,1
FBgn0051495,142,163,170,174
FBgn0002862,3,2,0,4
FBgn0038197,1928,1583,1987,1769
FBgn0038198,838,1141,857,1477
FBgn0038203,1,0,2,0
FBgn0038206,686,723,717,763
FBgn0038210,3,0,1,2
FBgn0027083,130,145,141,126
FBgn0038214,11,7,15,6
FBgn0038213,7,6,13,9
FBgn0027563,26,10,29,16
FBgn0053329,189,200,221,159
FBgn0053109,16,5,7,10
FBgn0051326,8,13,14,7
FBgn0038211,20,26,29,22
FBgn0011582,151,163,148,129
FBgn0051327,16,7,9,5
FBgn0051533,6,4,11,4
FBgn0038209,3,3,3,4
FBgn0038208,24,7,12,6
FBgn0038207,36,49,40,29
FBgn0010340,201,278,309,278
FBgn0020510,586,593,731,676
FBgn0038205,25,29,29,26
FBgn0038204,5,7,4,6
FBgn0038202,32,23,56,31
FBgn0038200,6,9,8,14
FBgn0038199,26,31,27,31
FBgn0011971,252,148,303,217
FBgn0038219,85,67,74,69
FBgn0038221,187,195,182,182
FBgn0004855,392,462,456,439
FBgn0051321,72,103,103,81
FBgn0013767,1,4,7,7
FBgn0011474,665,601,642,596
FBgn0038224,452,456,526,577
FBgn0003480,290,218,313,231
FBgn0038225,6,7,9,8
FBgn0024321,3039,2582,3373,2742
FBgn0038223,960,1161,1158,1210
FBgn0003567,415,455,427,433
FBgn0038218,24,26,28,15
FBgn0038217,7,6,15,10
FBgn0038234,101,143,148,141
FBgn0038236,21,8,10,8
FBgn0038239,2,0,3,1
FBgn0038240,7,1,3,2
FBgn0038242,21,6,19,8
FBgn0020299,55,60,53,56
FBgn0038246,38,43,37,30
FBgn0013981,1050,965,1061,1179
FBgn0038247,126,151,143,141
FBgn0038250,393,299,399,395
FBgn0038251,806,815,860,787
FBgn0038252,154,122,176,199
FBgn0025808,275,280,255,272
FBgn0038248,249,297,280,328
FBgn0003169,795,778,899,862
FBgn0038244,1266,1203,1433,1299
FBgn0004629,16,8,16,11
FBgn0038243,89,48,124,49
FBgn0051313,29,11,37,6
FBgn0038241,7,6,2,3
FBgn0038238,2,9,3,3
